,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID
65,um think anything serious,1,4,neutral,21,7
66,sound like hernia go doctor,0,6,negative,21,8
67,way kay look go doctor anything gon na thing sticking stomach,1,2,negative,21,9
68,start working damn,1,0,negative,21,11
69,love place guy,0,3,positive,22,0
70,uh eighteenth century indian artifact calcutta,1,4,neutral,22,1
71,oh wow dinosaur,0,6,positive,22,2
72,well well sum fun look young,1,4,neutral,23,0
73,enough key apartment,1,4,neutral,23,2
74,ross talk minute,0,4,neutral,24,1
75,yes please going,1,4,neutral,24,2
76,uh well joey broke,0,5,negative,24,3
77,oh god happened,1,6,negative,24,4
78,joey great guy different mean speech kept laughing homo erectus,0,5,negative,24,5
79,anyway uh think best,0,5,negative,24,7
80,hum another reason thought time end joey,0,4,neutral,24,10
81,started realize feeling someone else,0,4,neutral,24,11
82,oh professor clerk kind middle conversation,1,4,neutral,24,12
83,yeah guy throw pool later,0,4,neutral,24,13
84,mean scientist right,1,4,neutral,24,17
85,importantly catch u first,1,3,positive,24,19
86,go go go,1,3,positive,24,20
87,hum another reason thought time end joey,0,4,neutral,25,1
88,started realize feeling someone else,0,4,neutral,25,2
89,ok geller last day conference know happens keynote speaker,1,4,neutral,25,3
90,ok geller last day conference know happens keynote speaker,0,4,neutral,26,0
91,oh professor clerk kind middle conversation,1,4,neutral,26,1
92,mean scientist right,1,4,neutral,26,5
93,importantly catch u first,1,3,positive,26,7
94,go go go,1,3,positive,26,8
95,hum another reason thought time end joey,0,4,neutral,27,1
96,started realize feeling someone else,0,4,neutral,27,2
97,yeah guy throw pool later,0,4,neutral,27,3
98,mean scientist right,1,4,neutral,28,4
99,importantly catch u first,1,3,positive,28,6
100,go go go,1,3,positive,28,7
101,go go go,1,3,positive,29,0
102,oh yeah everybody want hat,0,3,positive,29,1
103,oh yeah everybody want hat,1,3,positive,30,0
104,oh yeah bob said might flood damage,1,4,neutral,31,2
105,oh yeah bob said might flood damage,0,4,neutral,32,0
106,yeah either really big cat,1,4,neutral,32,1
107,okay see blind guy right gon na bash head later,1,0,negative,33,0
108,oh umm big scene coming big scene coming,1,3,positive,33,1
109,said big lima bean bubbling would understand difference,0,4,neutral,33,2
110,said big lima bean bubbling would understand difference,0,4,neutral,34,0
111,oh boy ca watch scary,1,2,negative,35,1
112,oh yeah well know baby responsibility ahhh,1,2,negative,35,3
113,oh yeah well know baby responsibility ahhh,1,2,negative,36,0
114,hey wan na get something eat uh wan na see long throw ball back forth huh,1,4,neutral,38,0
115,uhh ball thing,0,4,neutral,38,1
116,hey ross would great could go two straight hour without dropping,0,3,positive,38,3
117,pee rachel bathroom,0,5,negative,38,8
118,man think gon na make,0,6,positive,38,9
119,know switch hand okay,1,2,negative,38,10
120,oh unbelievable best time,0,3,positive,40,1
121,guy totally right,0,3,positive,40,5
122,much better first time went,0,3,positive,40,6
123,awkward really nervous,0,4,neutral,40,8
124,yeah really calm,0,4,neutral,40,9
125,love sandwich sport although met fan much issue ever kid well,0,3,positive,40,12
126,oh god listen talkin kid oh joey oh please get married,1,6,positive,40,13
127,oh unbelievable best time,0,3,positive,41,0
128,yay oh mad u anymore,1,3,positive,41,1
129,guy totally right,0,3,positive,41,5
130,much better first time went,0,3,positive,41,6
131,awkward really nervous,0,4,neutral,41,8
132,yeah really calm,0,4,neutral,41,10
133,love sandwich sport although met fan much issue ever kid well,0,3,positive,41,13
134,sleep public place,1,4,neutral,42,1
135,would look peaceful,0,3,positive,42,2
136,would look peaceful,0,3,positive,43,0
137,got sleep last night,1,0,negative,43,3
138,grandmother new boyfriend kind insecure bed,1,1,negative,43,4
139,constantly like reassure good time,1,4,neutral,43,6
140,well want stay rachel tonight,0,4,neutral,43,8
141,got sleep last night,0,0,negative,44,2
142,grandmother new boyfriend kind insecure bed,0,1,negative,44,4
143,constantly like reassure good time,0,4,neutral,44,6
144,ew something exploded,0,1,negative,45,0
145,water breaking calm,1,4,neutral,45,1
146,water breaking mean water breaking,0,6,negative,45,2
147,breathe breathe breathe,1,4,neutral,45,3
148,insane mean joey going kill actually going kill dead,1,6,negative,46,0
149,okay think thought,0,0,negative,46,1
150,see tell one either dwha,0,6,negative,46,3
151,okay think thought,0,0,negative,47,0
152,dark big hair airplane earring,1,4,neutral,49,2
153,dark big hair airplane earring,0,4,neutral,51,1
154,know thought see saturday funny,0,4,neutral,52,0
155,look honey mark fashion okay like friend share stuff,0,4,neutral,52,1
156,guy would never want go lecture,0,4,neutral,52,2
157,would love go,1,3,positive,52,3
158,yeah hey clothes even pick,1,4,neutral,52,5
159,mean know could fashion monger,1,4,neutral,52,6
160,okay honey would love go,0,3,positive,52,7
161,know hey incredible huh,1,3,positive,53,0
162,know amazing mean totally nailed beautiful,0,3,positive,53,1
163,thank listen thanks lot tribbiani oh god look time got ta catch bus ball,1,3,positive,53,2
164,oh well okay good luck,0,3,positive,53,3
165,unless wan na practice foxtrot tango,0,4,neutral,53,5
166,ahh thanks see think ready dance girl,1,4,neutral,53,6
167,go get em treeger,0,4,neutral,53,9
168,right hey ahh wan na come marge girlfriend,1,4,neutral,53,10
169,yeah could dance real good size,1,4,neutral,53,12
170,oh god nerve wracking,1,6,negative,54,0
171,well unfortunately get many callback,0,4,neutral,54,1
172,yes knew long later,1,3,positive,54,2
173,oh great might actually get play ben dad,0,3,positive,54,3
174,man gon na kinda weird,0,5,negative,54,5
175,gon na like best friend gon na weird,1,4,neutral,54,7
176,well unfortunately get many callback,1,4,neutral,55,0
177,good sign asked u hang around audition,0,6,positive,55,1
178,okay uh narrowed raymond ben kyle joey rest thank much,1,4,neutral,56,1
179,actually ca happen,1,4,neutral,56,2
180,yeah different look putting raymond kyle ben,1,4,neutral,56,3
181,either two two,1,4,neutral,56,4
182,man gon na kinda weird,0,5,negative,56,5
183,okay uh narrowed raymond ben kyle joey rest thank much,1,4,neutral,57,0
184,yes knew long later,0,3,positive,57,1
185,actually ca happen,1,4,neutral,57,3
186,yeah different look putting raymond kyle ben,1,4,neutral,57,4
187,either two two,1,4,neutral,57,5
188,gon na like best friend gon na weird,0,4,neutral,57,7
189,okay come ca get married get something old something new something borrowed something blue,1,5,negative,58,0
190,okay right right right okay okay something something blue new,0,3,positive,58,1
191,hurt three huge men gave guy bloody nose mean proud really,1,0,negative,59,2
192,think got concussion,0,2,negative,59,4
193,welcome sorry hurt,0,2,negative,59,6
194,worth pain know know,1,5,negative,59,7
195,wow mike thing interesting know gon na happen phoebe david,1,6,positive,60,0
196,want hint huh,0,3,positive,60,1
197,ok sensing kind word play pink barely controlled glee,1,4,neutral,60,2
198,david going propose phoebe,0,3,positive,60,3
199,supposed give people advice,1,0,negative,60,6
200,could made sort inappropriate joke,1,0,negative,60,7
201,going week phoebe completely hung mike,1,0,negative,60,9
202,say david heart broken hard recover phoebe end alone,1,0,negative,60,10
203,father paul stevens dad ross geller,0,4,neutral,62,0
204,great meet paul,1,3,positive,62,1
205,umm think give umm one chance change mind,1,2,negative,62,4
206,great meet paul,1,3,positive,63,0
207,usually prefer elizabeth boyfriend address stevens,0,4,neutral,63,1
208,course course stevens,1,4,neutral,63,2
209,get girlfriend age,0,0,negative,63,5
210,umm think give umm one chance change mind,1,2,negative,63,10
211,okay give one chance change mind got one minute,0,0,negative,63,13
212,okay give one chance change mind got one minute,1,0,negative,64,0
213,oh well tv yet,0,4,neutral,65,0
214,well wall yet,1,4,neutral,65,1
215,okay fine bring tape huh,0,4,neutral,65,2
216,okay fine bring tape huh,0,4,neutral,66,0
217,umm matt lauer clothes maybe one cleaned yet,1,4,neutral,66,1
218,oh yeah sure sudden hand problem anymore,1,4,neutral,67,1
219,oh yeah sure sudden hand problem anymore,1,4,neutral,68,0
220,oh boy scout could camped,1,4,neutral,68,2
221,oh boy scout could camped,0,4,neutral,69,0
222,moral obligation friend woman think feminist issue,1,0,negative,70,5
223,moral obligation friend woman think feminist issue,1,0,negative,71,5
224,oh yeah tell,0,4,neutral,71,8
225,oh yeah tell,0,4,neutral,72,0
226,feminist issue went,1,4,neutral,72,1
227,feminist issue went,0,4,neutral,73,0
228,gon na hate,1,2,negative,73,1
229,moral obligation friend woman think feminist issue,1,0,negative,74,4
230,gon na hate,0,2,negative,74,7
231,big night wanted wish good luck,1,3,positive,75,1
232,big night wanted wish good luck,0,3,positive,76,0
233,yeah yeah ring,1,4,neutral,76,1
234,yeah yeah ring,1,4,neutral,77,0
235,yeah right pocket pheebs,0,4,neutral,77,1
236,okay guy get want surprise gon na know,0,4,neutral,77,2
237,yeah right pocket pheebs,0,4,neutral,78,0
238,okay guy get want surprise gon na know,0,4,neutral,78,2
239,oh thank going,1,3,positive,80,2
240,oh thank going,0,3,positive,81,0
241,excited charity event go,1,4,neutral,81,1
242,okay umm ross,0,4,neutral,82,0
243,really warm going taking sweater,0,4,neutral,82,1
244,sorry done done,0,4,neutral,82,4
245,last night embarrassing,1,4,neutral,82,5
246,really mean seen naked hundred time,0,4,neutral,82,6
247,first rest building,1,4,neutral,82,7
248,okay right true embarrass easily,0,4,neutral,82,8
249,totally get embarrassed,1,6,positive,82,9
250,ross think secure person,0,4,neutral,82,10
251,hey lady care much want okay,1,1,negative,82,13
252,never thought able,0,3,positive,83,3
253,oh hey thank thank one faced fear ultimately overcame,1,3,positive,83,5
254,mean two mean lucky one good,1,4,neutral,84,1
255,got ta go check something,1,4,neutral,85,1
256,okay lot option number prototype try,1,4,neutral,86,0
257,wow look great,0,3,positive,86,1
258,yeah okay one mushroom cap umm one made bologna,1,3,positive,86,2
259,kissed another woman,1,0,negative,87,0
260,well gon na go get water,1,4,neutral,88,1
261,took hotel lobby,1,4,neutral,88,2
262,yeah think charge dirty movie bag mashuga nut got another think coming,1,0,negative,88,3
263,looking like month,1,6,positive,88,6
264,well gon na go get water,1,4,neutral,89,0
265,wait stole people wedding,0,6,negative,89,1
266,took hotel lobby,1,4,neutral,89,2
267,yeah think charge dirty movie bag mashuga nut got another think coming,1,0,negative,89,3
268,looking like month,1,6,positive,89,6
269,happy supposed vic happy,1,0,negative,91,0
270,well tell supposed,0,0,negative,91,1
271,sure hell figure,0,0,negative,91,3
272,think character gon na need little bit reason,1,4,neutral,91,8
273,oh hey one,0,4,neutral,91,9
274,ah say script,0,0,negative,91,10
275,ah know character like either mean say script bitch,0,0,negative,91,11
276,well tell supposed,0,0,negative,92,0
277,sure hell figure,0,0,negative,92,2
278,tasty really starting feel like guy history nice,1,3,positive,92,6
279,peel onion first good looking,1,4,neutral,92,7
280,oh hey one,0,4,neutral,92,9
281,ah say script,0,0,negative,92,10
282,ah know character like either mean say script bitch,0,0,negative,92,11
283,tasty really starting feel like guy history nice,1,3,positive,93,0
284,well understand adrienne attracted victor,0,1,negative,93,3
285,peel onion first good looking,1,4,neutral,93,4
286,yeah got ta tell girl tape rookie mistake,0,0,negative,94,1
287,yeah got ta tell girl tape rookie mistake,1,0,negative,95,0
288,know great video camera,0,4,neutral,95,1
289,let call em,0,4,neutral,95,2
290,yeah ask brought friend souvenir,1,3,positive,95,3
291,know great video camera,0,4,neutral,96,0
292,still wan na call em wan na call em,0,4,neutral,97,1
293,still wan na call em wan na call em,1,4,neutral,98,0
294,let call em,0,4,neutral,98,1
295,uh sorry wrong number,1,2,negative,98,2
296,yeah ask brought friend souvenir,0,3,positive,99,0
297,hello eighth street deli,1,4,neutral,99,1
298,hey hang get food poisoning talkin place,0,1,negative,99,2
299,uh sorry wrong number,1,2,negative,99,3
300,think number right,1,5,negative,99,6
301,think number right,0,5,negative,100,0
302,got ta go miss love getting real late,1,5,negative,101,0
303,hey listen made appointment bazida excuse know,0,6,negative,101,1
304,name ronni pet mortician,1,4,neutral,101,2
305,remember little kid used take navy yard show big ship,1,4,neutral,101,4
306,wanted put nice memory head know always terrible guy,1,4,neutral,101,7
307,joe dad love big time worst part two different woman,1,4,neutral,101,13
308,oh man please tell one,0,1,negative,101,14
309,course course one matter,1,6,negative,101,15
310,everything gon na right okay dick,0,4,neutral,102,0
311,hello guru saj whoa supposed duck right cause otherwise waaay league,1,6,negative,102,1
312,hey rach work,0,4,neutral,103,0
313,oh great although sit chair,1,4,neutral,103,1
314,way ross dropped box stuff,0,4,neutral,103,2
315,oh well guess one coming,1,4,neutral,103,3
316,gon na throw probably bunch shampoo,1,4,neutral,103,4
317,said thing bringing mesozoic era century,0,4,neutral,104,0
318,dude sorry said,1,5,negative,105,0
319,right ridiculous name,0,1,negative,105,1
320,yes first name,0,0,negative,105,3
321,ace high jack queen king ace,0,6,negative,106,1
322,ace low ace two three four,1,0,negative,106,2
323,ace low ace two three four,0,0,negative,107,0
324,know ooh ooh look,1,6,positive,107,1
325,know ooh ooh look,0,6,positive,108,0
326,right cut let pick pick,1,4,neutral,108,1
327,right cut let pick pick,1,4,neutral,109,0
328,come apartment come apartment oh know queen high,1,0,negative,109,2
329,high worked king,0,6,positive,109,3
330,high worked king,1,6,positive,110,0
331,ticket please courtside baby,0,3,positive,110,2
332,seriously good game though good game mad get apartment back,1,6,negative,110,3
333,ticket please courtside baby,0,3,positive,111,3
334,know think brought enough stuff forget pack baby anvil,0,4,neutral,112,0
335,gon na worth,1,4,neutral,112,1
336,known fact woman love baby right,1,4,neutral,112,2
337,woman love guy love baby,1,4,neutral,112,3
338,whole sensitive thing,1,4,neutral,112,4
339,quick aim pack babe,1,4,neutral,112,5
340,maybe one break away,1,4,neutral,112,6
341,wait get got one hard left,1,3,positive,112,7
342,right gim baby,1,4,neutral,112,8
343,oh seriously want,0,6,positive,112,10
344,well think immodest,0,6,positive,112,12
345,wan na smell,1,4,neutral,112,13
346,oh yeah got great baby smell get whiff head,1,3,positive,112,14
347,well great guy,0,4,neutral,112,16
348,mean technically rule anything frowned upon,1,4,neutral,113,1
349,especially professor ran last night judgey von holierthanthou,1,0,negative,113,2
350,well ross careful want get reputation know professor mcnailshisstudents,0,3,positive,113,3
351,mean technically rule anything frowned upon,1,4,neutral,114,1
352,especially professor ran last night judgey von holierthanthou,1,0,negative,114,2
353,well ross seems pretty clear,0,4,neutral,114,4
354,people think feel huh,0,4,neutral,114,6
355,ross got ta follow heart,0,4,neutral,114,7
356,well ross seems pretty clear,0,4,neutral,115,0
357,people think feel huh,0,4,neutral,115,2
358,ross got ta follow heart,0,4,neutral,115,3
359,joey even know,1,6,positive,115,5
360,hey relax need time going dinner tonight,0,4,neutral,116,2
361,joey even know,1,6,positive,116,5
362,well ross seems pretty clear,1,4,neutral,117,0
363,people think feel huh,1,4,neutral,117,2
364,ross got ta follow heart,1,4,neutral,117,3
365,go dana reason leave block time open say thursday,1,4,neutral,117,5
366,hey relax need time going dinner tonight,0,4,neutral,117,8
367,mean technically rule anything frowned upon,1,4,neutral,118,1
368,especially professor ran last night judgey von holierthanthou,1,0,negative,118,2
369,uh dana keystone college,0,4,neutral,118,4
370,oh yeah uh,1,6,positive,118,5
371,morning hey favorite genius little robot buddy,0,3,positive,119,0
372,umm right wayne level,0,4,neutral,119,4
373,keep hearing rumor might get fired,0,2,negative,119,5
374,okay even actor coming read part,0,2,negative,119,6
375,come man got give second chance,0,5,negative,119,7
376,mean love little guy,0,3,positive,119,8
377,okay want touch right,0,6,negative,119,10
378,hi look um happened earlier,0,5,negative,120,1
379,hey well completely understand stressed,1,4,neutral,120,2
380,gon na give chance apologise,0,1,negative,120,3
381,letting throw office,1,0,negative,120,4
382,yeah well excuse wanting girlfriend anniversary boy as,1,0,negative,120,6
383,yeah well never time mean feel like even girlfriend anymore rachel,1,0,negative,120,8
384,wh ross want,0,0,negative,120,9
385,want want quit job feel like girlfriend,0,0,negative,120,10
386,ooh tell something,1,3,positive,121,1
387,okay easier tell something could tell,0,4,neutral,121,4
388,well sure perfect world promised tell swore like god,1,4,neutral,121,5
389,okay ross rachel,0,4,neutral,121,6
390,chandler sock keep bed,0,4,neutral,121,10
391,let come back later,1,4,neutral,121,11
392,actually complement chef,1,4,neutral,122,2
393,oh okay hate people come back complement chef,0,4,neutral,122,3
394,like nothing better,0,4,neutral,122,4
395,well great seeing night,1,3,positive,122,6
396,oh good see come tell,0,4,neutral,122,7
397,came tell something else came tell still love,1,3,positive,122,8
398,one pregnant woman time please want okay,0,1,negative,123,0
399,forcing marry bobby gon na make happen,1,5,negative,123,1
400,maybe well uh kind music numb nut oh forget,0,0,negative,123,2
401,okay bobby come let little moment,1,4,neutral,123,3
402,maybe well uh kind music numb nut oh forget,1,0,negative,124,0
403,joey scared death,0,2,negative,124,1
404,really think gon na need help,0,2,negative,124,2
405,bobby gon na whole time,0,4,neutral,124,3
406,look rachel told much easier made,0,0,negative,124,4
407,cause baby sister,1,5,negative,124,5
408,mean favorite guy whole world,0,4,neutral,124,7
409,even scared tell mom dad,0,4,neutral,124,8
410,well scared right,1,2,negative,124,10
411,joey stand thought baby mad,0,5,negative,124,11
412,baby gon na uncle joey,0,5,negative,124,13
413,course gon na uncle joey,1,3,positive,124,14
414,gon na right mean even married baby gon na loved u,0,3,positive,124,15
415,joey scared death,1,2,negative,125,0
416,really think gon na need help,1,2,negative,125,1
417,bobby gon na whole time,1,4,neutral,125,2
418,bet answer earlier question gangster rap,0,3,positive,125,3
419,look rachel told much easier made,1,0,negative,125,4
420,mean favorite guy whole world,1,4,neutral,125,6
421,even scared tell mom dad,1,4,neutral,125,7
422,joey stand thought baby mad,1,5,negative,125,9
423,baby gon na uncle joey,1,5,negative,125,11
424,okay bobby come let little moment,1,4,neutral,127,1
425,really nice time tonight,0,3,positive,128,0
426,really glad monica asked u,1,3,positive,128,1
427,love ask uh sister visiting think asleep couch,0,4,neutral,128,2
428,sister sister asleep couch ohhh saw,1,6,positive,128,3
429,oh hey great rachel sister krista krista rachel,0,4,neutral,128,4
430,dead gon na get,0,3,positive,128,6
431,uh nice meeting,1,4,neutral,128,7
432,nice meet wish told company fix,0,6,positive,129,1
433,nice meet wish told company fix,1,6,positive,130,0
434,like would help,0,4,neutral,130,1
435,dead gon na get,0,3,positive,130,9
436,oh god victoria secret model something something goodacre,0,6,positive,131,0
437,hi mom jill,1,4,neutral,131,1
438,right jill jill goodacre oh god trapped atm vestibule jill goodacre,0,6,positive,131,2
439,yeah fine stuck bank atm vestibule,1,4,neutral,131,3
440,jill say vestibule going vestibule,0,4,neutral,131,4
441,fine alone know guy,1,4,neutral,131,5
442,oh guy guy jill saw guy last night yes,0,3,positive,131,6
443,personal shopping like walk around snooty rich people tell buy,0,4,neutral,132,0
444,umm excuse switched apartment eat food anymore gravy train ended,1,0,negative,134,1
445,big apartment deal people coming time,1,4,neutral,134,3
446,fridge got stocked okay department,1,4,neutral,134,4
447,think left donut,0,4,neutral,134,6
448,oh excuse forgot briefcase accident,1,4,neutral,135,0
449,forgot something else ya bastard,0,3,positive,135,2
450,feeling left anything ya,0,4,neutral,135,4
451,forgot something else ya bastard,1,3,positive,136,1
452,feeling left anything ya,1,4,neutral,136,3
453,everybody else got one want one,1,3,positive,136,5
454,hey pal toby today,0,3,positive,137,1
455,think adding team,1,4,neutral,138,3
456,bob ooh working u everyday yeah know take,0,6,negative,138,4
457,really love six,1,6,negative,138,5
458,eleven almost twice hard,0,4,neutral,138,6
459,hey guess got wedding,1,3,positive,139,0
460,freakish thin date hanger head,0,4,neutral,139,1
461,rachel hooked tux tux batman tux,1,3,positive,139,2
462,right made expressly val kilmer worn hit batman film,1,3,positive,139,4
463,wear wearing famous tux james bond tux,0,0,negative,139,5
464,wear make mine le special,0,5,negative,139,7
465,sorry like idea say thinking yeah,0,0,negative,140,0
466,well still problem,1,4,neutral,140,1
467,guy thank much neither marrying u,0,4,neutral,141,3
468,well trying find someone perform wedding either boring annoying know stop staring lady,0,4,neutral,142,1
469,oo one u,1,3,positive,142,2
470,uh real thing anyone get ordained internet perform like wedding stuff,1,3,positive,142,4
471,uh real thing anyone get ordained internet perform like wedding stuff,1,3,positive,143,0
472,guy thank much neither marrying u,0,4,neutral,144,0
473,calling mean anything anymore,1,0,negative,144,1
474,going legitimate member clergy say legitimate mean gay control saliva,0,4,neutral,144,2
475,see see big passion future,1,3,positive,145,0
476,oh ross great playfully rub head get,0,3,positive,145,3
477,supposed good thing forget,1,4,neutral,146,0
478,listen monica know okay know sleep like month got like dot ink one sofa cushion,1,4,neutral,146,1
479,well coulda turned cushion,0,4,neutral,146,2
480,yeah would except big spaghetti stain side,1,4,neutral,146,3
481,okay talking need live land people spill,1,4,neutral,146,5
482,aw honey fault love want u friend keep living see happening,1,5,negative,146,7
483,oh god serious,0,6,positive,147,0
484,would love live ross great thank,0,3,positive,147,2
485,well glad could know help,1,4,neutral,147,3
486,mean mean gon na homeless,0,5,negative,147,5
487,hero uh know well right,1,4,neutral,147,8
488,oh go tell monica wonderful brother,0,3,positive,147,9
489,oh please gon na say thing ya,1,3,positive,147,10
490,oh please gon na say thing ya,1,3,positive,148,0
491,tell exact thing happened roommate denise,0,4,neutral,148,3
492,moved guy secretly married said love really blew,0,0,negative,148,4
493,dammit hire girl okay everybody ready,0,0,negative,149,0
494,uh listen wan na thank great opportunity,1,3,positive,149,1
495,well gon na get another espresso get another latte,0,4,neutral,150,1
496,still working mine,1,4,neutral,150,2
497,well gon na get another espresso get another latte,0,4,neutral,151,1
498,yeah really hard,1,5,negative,151,3
499,oh yeah hug looked pretty brutal,0,4,neutral,151,4
500,wow ah pretty nice,1,3,positive,152,0
501,pardon roommate wanted marry,0,4,neutral,153,1
502,pardon roommate wanted marry,0,4,neutral,154,0
503,buck would willing trade got canoe,1,4,neutral,154,1
504,really think need canoe,0,4,neutral,154,2
505,got ta take canoe,1,0,negative,154,3
506,right take entertainment center get home throw canoe away,0,4,neutral,154,4
507,right take entertainment center get home throw canoe away,0,4,neutral,155,0
508,throwing away built canoe,1,0,negative,155,1
509,throwing away built canoe,1,0,negative,156,0
510,okay guess wait hi need one fake ticket yemen,0,4,neutral,158,0
511,one ticket yemen,1,6,negative,158,1
512,oh need pretend ticket,0,4,neutral,158,2
513,sorry sir understand,1,6,negative,158,3
514,would give kid wanted ticket play,0,4,neutral,158,4
515,right know gon na think handing credit card really gon na hand library card,0,4,neutral,158,7
516,okay last time,0,4,neutral,159,0
517,chick chick everywhere chickeeeen,0,3,positive,159,2
518,well yeah think,1,4,neutral,159,7
519,know tell ever went back quickly,0,4,neutral,159,8
520,well anyway got go change ah meeting cast drink,1,4,neutral,159,9
521,okay good go go vince,0,3,positive,160,0
522,yeah jason really sensitive,1,4,neutral,160,1
523,oh sure go sissy,0,1,negative,160,3
524,oh meant chandler,0,0,negative,160,5
525,yeah jason really sensitive,1,4,neutral,161,0
526,well sensitive important pick,0,4,neutral,161,1
527,uh apparently people familiar europe story,0,4,neutral,162,0
528,listen whole uh came thing really matter,1,4,neutral,162,2
529,mean think would happened either way,1,4,neutral,162,3
530,mean initiated know would,1,4,neutral,162,4
531,think looked amazing,0,5,negative,162,7
532,fine call baby girl green,0,4,neutral,163,2
533,oh baby girl,1,4,neutral,163,3
534,hello baby girl,1,3,positive,163,4
535,like sitting gon na,0,0,negative,164,1
536,oh god jumping woman,0,6,negative,164,3
537,like sitting gon na,1,0,negative,165,0
538,rachel got first,0,0,negative,165,1
539,rachel got first,0,0,negative,166,0
540,oh look gon na leave stain,1,1,negative,167,1
541,rach hey fine joey,0,3,positive,167,2
542,never lived like,1,1,negative,167,5
543,right waste mean still food,0,4,neutral,167,7
544,hey joey bed olivia lost virginity,1,4,neutral,168,0
545,know one extra sure hey listen rach thanks coming watch scene,0,3,positive,168,1
546,oh please honey fact want support oh god christian sander,1,6,positive,168,2
547,oh head done pretty,1,4,neutral,168,4
548,well christmas party santa definitely gay stuff,0,4,neutral,168,5
549,ok got promise never ever tell ross told,0,4,neutral,169,0
550,planning birthday party,0,4,neutral,169,2
551,oh god love,1,3,positive,169,3
552,better act surprised,0,2,negative,169,4
553,better act surprised,0,2,negative,170,0
554,hey look ross thing,0,4,neutral,170,3
555,typical always last one know everything,1,0,negative,170,4
556,last one know chandler got bitten peacock zoo,1,0,negative,170,6
557,last one know crush joey moving,1,0,negative,170,7
558,look like second last,1,6,positive,170,8
559,oh stop joey already told,0,3,positive,171,3
560,typical always last one know everything,1,0,negative,171,5
561,last one know chandler got bitten peacock zoo,1,0,negative,171,8
562,last one know crush joey moving,1,0,negative,171,9
563,look like second last,1,6,positive,171,10
564,chandler still gotten rsvp dad,1,4,neutral,172,0
565,oh right umm maybe send invitation,0,4,neutral,172,1
