Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Old_Dialogue_ID,Old_Utterance_ID,Season,Episode,StartTime,EndTime
He thinks Monica empty empty vase,Phoebe,6,negative,4,4,3,6,3,12,"00:10:29,754","00:10:32,672"
Oh totally Oh God oh seemed happy,Phoebe,5,negative,4,5,3,8,3,12,"00:10:36,385","00:10:39,137"
Ah y'know building paper route I,Ross,4,neutral,5,3,4,3,3,11,"00:20:26,433","00:20:29,185"
How Åf go,Ross,4,neutral,5,7,4,7,3,11,"00:20:31,188","00:20:32,230"
Oh well woman I interviewed pretty tough y'know thank God Mark coached I started talking fall line got happy Åf shut,Rachel,3,positive,5,8,4,8,3,11,"00:20:32,397","00:20:40,446"
I Åf proud,Ross,3,positive,5,9,4,9,3,11,"0:20:40,614","0:20:41,991"
Listen I Åf ah I Åf sorry I Åf crazy jealous Åf I like lot,Ross,5,negative,5,11,4,11,3,11,"00:20:44,284","00:20:53,584"
Ameri-can Y'know Åf,Phoebe,4,neutral,6,2,5,2,3,15,"00:22:20,589","00:22:23,507"
Ameri-can Y'know Åf,Phoebe,4,neutral,7,0,5,2,3,15,"00:22:20,589","00:22:23,507"
Good job Joe Well done Top notch,Chandler,3,positive,8,0,6,0,8,22,"00:12:24,315","00:12:27,526"
You liked You really liked,Joey,6,positive,8,1,6,1,8,22,"0:12:28,194","0:12:29,796"
Which part exactly,Joey,4,neutral,8,3,6,3,8,22,"0:12:31,655","0:12:33,657"
The whole thing Can go,Chandler,4,neutral,8,4,6,4,8,22,"0:12:33,657","0:12:36,243"
Oh no-no-no give specifics,Joey,0,negative,8,5,6,5,8,22,"00:12:36,368","00:12:38,746"
I love specifics specifics best part,Chandler,3,positive,8,6,6,6,8,22,"00:12:38,954","00:12:43,000"
Hey scene kangaroo Did-did like part,Joey,4,neutral,8,7,6,7,8,22,"00:12:43,209","00:12:48,255"
I surprised see kangaroo World War I epic,Chandler,6,negative,8,8,6,8,8,22,"00:12:49,298","00:12:54,929"
You fell asleep,Joey,0,negative,8,9,6,9,8,22,"00:12:55,930","00:12:56,931"
They Åf take suggestions,Joey,0,negative,8,11,6,11,8,22,"0:12:59,809","0:13:03,196"
That Åf coming buddy,Joey,4,neutral,8,12,6,12,8,22,"0:13:05,940","0:13:07,242"
I Åf see later,Joey,4,neutral,8,13,6,13,8,22,"0:13:07,242","0:13:08,202"
Don Åf go,Chandler,5,negative,8,14,6,14,8,22,"0:13:08,202","0:13:08,804"
I Åf sorry,Chandler,5,negative,8,15,6,15,8,22,"0:13:08,804","0:13:09,526"
I Åf sorry,Chandler,5,negative,8,16,6,16,8,22,"0:13:09,526","0:13:10,832"
This guy fell asleep,Chandler,0,negative,8,18,6,18,8,22,"0:13:11,407","0:13:12,589"
He fell asleep,Chandler,0,negative,8,19,6,19,8,22,"0:13:12,589","0:13:13,215"
Or call ambulance,Chandler,0,negative,8,21,6,21,8,22,"00:13:16,367","00:13:18,244"
Okay look I think tell Rachel messed dessert,Joey,4,neutral,9,0,7,0,6,9,"00:12:51,020","00:12:53,897"
What What everybody It Åf Thanksgiving ... Truth-Day,Ross,0,negative,9,1,7,1,6,9,"00:12:54,106","00:12:58,193"
Yes dying wish ring,Phoebe,4,neutral,10,0,8,0,6,23,"00:19:17,865","00:19:21,951"
See I Åf buried ring spirit going wander nether world eternity,Phoebe,4,neutral,10,1,8,1,6,23,"00:19:17,865","00:19:25,204"
Okay Åf enough honey,Chandler,4,neutral,10,2,8,2,6,23,"00:19:25,372","00:19:26,706"
Okay Åf enough honey,Chandler,4,neutral,11,0,8,2,6,23,"00:19:25,372","00:19:26,706"
I Åf know Let see ring,Customer,4,neutral,11,1,8,3,6,23,"00:19:28,375","00:19:34,964"
Thank Thank Thank And,Chandler,3,positive,11,4,8,6,6,23,"0:19:39,934","0:19:40,074"
Oh know usual teaching aerobics partying way much,Jade,4,neutral,12,1,9,1,2,5,"00:01:54,948","00:02:01,203"
Oh case wondering legs new James Bond poster,Jade,4,neutral,12,2,9,2,2,5,"00:02:01,621","00:02:07,459"
Can hold moment I another call I love,Chandler,3,positive,12,3,9,3,2,5,"00:02:10,547","00:02:14,758"
I 'm back,Chandler,4,neutral,12,4,9,5,2,5,"0:02:16,261","0:02:16,903"
So gon na get together,Jade,4,neutral,12,5,9,6,2,5,"0:02:16,903","0:02:19,185"
Um absolutely Uh 'bout tomorrow afternoon Do know uh Central Perk Village say five-ish,Chandler,4,neutral,12,6,9,7,2,5,"00:02:19,347","00:02:25,561"
Great I 'll see,Jade,4,neutral,12,7,9,8,2,5,"00:02:25,770","00:02:28,647"
Ok. Ok. Having phone finally paid,Chandler,3,positive,12,8,9,9,2,5,"00:02:32,318","00:02:34,528"
Can hold moment I another call I love,Chandler,3,positive,13,0,9,3,2,5,"00:02:10,547","00:02:14,758"
I 'm back,Chandler,4,neutral,13,2,9,5,2,5,"0:02:16,261","0:02:16,903"
Ok. Ok. Having phone finally paid,Chandler,3,positive,13,3,9,9,2,5,"00:02:32,318","00:02:34,528"
Even though good Bob impression I 'm thinkin sees tomorow 's probably gon na realize `` Hey 're Bob,Ross,4,neutral,13,4,9,10,2,5,"00:02:36,823","00:02:43,620"
I 'm hoping Bob n't show seek comfort open arms wry stranger next table,Chandler,4,neutral,13,5,9,11,2,5,"00:02:47,375","00:02:52,337"
Oh god You pure evil,Ross,1,negative,13,6,9,12,2,5,"00:02:52,547","00:02:55,299"
Ok pure evil horny alone I 've done,Chandler,0,negative,13,7,9,13,2,5,"00:02:56,634","00:03:05,058"
Nobody respects bucket,Phoebe,0,negative,14,1,10,1,5,10,"0:11:58,551","0:11:59,947"
You would n't believe people put,Phoebe,0,negative,14,2,10,2,5,10,"00:12:00,553","00:12:02,721"
Okay look like garbage,Phoebe,0,negative,14,4,10,4,5,10,"00:12:02,888","00:12:07,016"
All right Åf know We really late Let Åf go Let Åf go Let Åf go,Monica,0,negative,15,1,11,1,4,23,"00:03:13,318","00:03:16,737"
Fine You Åf ll-you Åf watch video get back,Ross,4,neutral,15,2,11,2,4,23,"00:03:18,781","00:03:21,491"
Fine You Åf ll-you Åf watch video get back,Ross,4,neutral,16,0,11,2,4,23,"00:03:18,781","00:03:21,491"
Here go Phoebe Here go Phobo Phewbedo Phaybobo,Chandler,3,positive,16,1,11,3,4,23,"00:03:22,869","00:03:25,704"
Here go Phoebe Here go Phobo Phewbedo Phaybobo,Chandler,3,positive,17,0,11,3,4,23,"00:03:22,869","00:03:25,704"
All right let Åf go Bye Pheebs,Ross,3,positive,18,2,11,6,4,23,"00:03:32,503","00:03:34,463"
All right let Åf go Bye Pheebs,Ross,3,positive,19,0,11,6,4,23,"00:03:32,503","00:03:34,463"
Oh need hug You Åf bring anything,Phoebe,3,positive,20,4,11,9,4,23,"00:03:44,849","00:03:51,563"
Hey So Estelle lined bunch auditions tomorrow I Åf health insurance back time,Joey,3,positive,21,1,12,1,6,4,"00:09:47,295","00:09:56,177"
That Åf great Åf toilet right,Chandler,1,negative,21,2,12,2,6,4,"00:09:57,346","00:10:00,890"
What Åf wrong,Chandler,1,negative,21,4,12,4,6,4,"0:10:05,647","0:10:06,929"
Well I-I got blinding pain stomach I lifting weights I uh passed uh Åf able stand since,Joey,2,negative,21,6,12,6,6,4,"00:10:08,190","00:10:18,575"
But um I Åf think Åf anything serious,Joey,4,neutral,21,7,12,7,6,4,"00:10:18,743","00:10:21,536"
This sounds like hernia You you-you go doctor,Chandler,6,negative,21,8,12,8,6,4,"00:10:21,704","00:10:24,706"
No way Åe Kay look I go doctor anything Åf gon na thing sticking stomach,Joey,2,negative,21,9,12,9,6,4,"00:10:24,874","00:10:31,463"
That Åf hernia,Chandler,1,negative,21,10,12,10,6,4,"00:10:34,842","00:10:36,009"
Why I start working Damn 15s,Joey,0,negative,21,11,12,11,6,4,"00:10:36,177","00:10:41,556"
I love place Where guy,Mona,3,positive,22,0,13,0,8,8,"00:10:36,844","00:10:40,930"
Uh Åf eighteenth century Indian artifact Calcutta,Ross,4,neutral,22,1,13,1,8,8,"00:10:41,098","00:10:50,899"
Oh wow So Åf dinosaurs,Mona,6,positive,22,2,13,2,8,8,"00:10:44,894","00:10:50,899"
Well well sum Åf fun look young,Ross,4,neutral,23,0,14,0,8,11,"00:13:42,112","00:13:53,456"
But Åf enough SoÅc SoÅchere Åf key apartment,Ross,4,neutral,23,2,14,2,8,11,"00:13:57,253","00:14:06,135"
You Åf think fast,Mona,4,neutral,23,5,14,5,8,11,"00:14:16,897","00:14:20,316"
Ross I talk minute,Charlie,4,neutral,24,1,15,1,9,23,"00:42:15,032","00:42:16,908"
Yes please So 's going,Ross,4,neutral,24,2,15,2,9,23,"00:42:17,117","00:42:23,998"
Uh well ... Joey I broke,Charlie,5,negative,24,3,15,3,9,23,"00:42:26,126","00:42:29,754"
Oh God wh-what happened,Ross,6,negative,24,4,15,4,9,23,"00:42:30,464","00:42:35,885"
Joey great guy 're ... different I mean speech kept laughing homo erectus,Charlie,5,negative,24,5,15,5,9,23,"00:42:36,053","00:42:44,561"
Anyway I uh I think 's best,Charlie,5,negative,24,7,15,7,9,23,"00:42:46,313","00:42:50,108"
There hum ... another reason I thought time end Joey,Charlie,4,neutral,24,10,15,10,9,23,"00:42:57,866","00:43:05,915"
I started realize I feelings someone else,Charlie,4,neutral,24,11,15,11,9,23,"00:43:06,667","00:43:12,547"
Oh professor Clerk 're kind middle conversation,Ross,4,neutral,24,12,15,13,9,23,"00:43:19,388","00:43:22,765"
Yeah guys throw pool later,Charlie,4,neutral,24,13,15,14,9,23,"0:43:22,933","0:43:24,905"
Are n't little old,Ross,0,negative,24,16,15,18,9,23,"0:43:28,699","0:43:30,985"
I mean 're scientists right,Ross,4,neutral,24,17,15,19,9,23,"0:43:31,066","0:43:32,788"
We 're academics,Ross,0,negative,24,18,15,20,9,23,"0:43:32,788","0:43:33,798"
And importantly I ... you-you catch us first,Ross,3,positive,24,19,15,21,9,23,"00:43:33,902","00:43:37,780"
GO GO GO,Ross,3,positive,24,20,15,22,9,23,"00:43:37,948","00:43:40,366"
There hum ... another reason I thought time end Joey,Charlie,4,neutral,25,1,15,10,9,23,"00:42:57,866","00:43:05,915"
I started realize I feelings someone else,Charlie,4,neutral,25,2,15,11,9,23,"00:43:06,667","00:43:12,547"
Ok Geller Last day conference know happens keynote speaker,Paleontologist,4,neutral,25,3,15,12,9,23,"00:43:14,174","00:43:19,220"
Ok Geller Last day conference know happens keynote speaker,Paleontologist,4,neutral,26,0,15,12,9,23,"00:43:14,174","00:43:19,220"
Oh professor Clerk 're kind middle conversation,Ross,4,neutral,26,1,15,13,9,23,"00:43:19,388","00:43:22,765"
Are n't little old,Ross,0,negative,26,4,15,18,9,23,"0:43:28,699","0:43:30,985"
I mean 're scientists right,Ross,4,neutral,26,5,15,19,9,23,"0:43:31,066","0:43:32,788"
We 're academics,Ross,0,negative,26,6,15,20,9,23,"0:43:32,788","0:43:33,798"
And importantly I ... you-you catch us first,Ross,3,positive,26,7,15,21,9,23,"00:43:33,902","00:43:37,780"
GO GO GO,Ross,3,positive,26,8,15,22,9,23,"00:43:37,948","00:43:40,366"
There hum ... another reason I thought time end Joey,Charlie,4,neutral,27,1,15,10,9,23,"00:42:57,866","00:43:05,915"
I started realize I feelings someone else,Charlie,4,neutral,27,2,15,11,9,23,"00:43:06,667","00:43:12,547"
Yeah guys throw pool later,Charlie,4,neutral,27,3,15,14,9,23,"0:43:22,933","0:43:24,905"
Or could throw,Professore Clerk,3,positive,27,4,15,15,9,23,"0:43:24,905","0:43:27,073"
Or could throw,Professore Clerk,3,positive,28,0,15,15,9,23,"0:43:24,905","0:43:27,073"
Are n't little old,Ross,0,negative,28,3,15,18,9,23,"0:43:28,699","0:43:30,985"
I mean 're scientists right,Ross,4,neutral,28,4,15,19,9,23,"0:43:31,066","0:43:32,788"
We 're academics,Ross,0,negative,28,5,15,20,9,23,"0:43:32,788","0:43:33,798"
And importantly I ... you-you catch us first,Ross,3,positive,28,6,15,21,9,23,"00:43:33,902","00:43:37,780"
GO GO GO,Ross,3,positive,28,7,15,22,9,23,"00:43:37,948","00:43:40,366"
Go go go,Ross,3,positive,29,0,16,0,3,25,"00:04:41,197","00:04:42,239"
Oh yeah everybody wants hat,Rachel,3,positive,29,1,16,1,3,25,"00:04:42,407","00:04:44,574"
Oh yeah everybody wants hat,Rachel,3,positive,30,0,16,1,3,25,"00:04:42,407","00:04:44,574"
What Åf sand,Monica,6,negative,31,1,16,3,3,25,"00:04:52,333","00:04:54,001"
Oh yeah Bob said might flood damage,Phoebe,4,neutral,31,2,16,4,3,25,"00:04:54,168","00:04:56,795"
Oh yeah Bob said might flood damage,Phoebe,4,neutral,32,0,16,4,3,25,"00:04:54,168","00:04:56,795"
Yeah either really big cat,Ross,4,neutral,32,1,16,5,3,25,"00:04:57,005","00:04:59,214"
Okay see blind guy right I 'm gon na bash head later,Joey,0,negative,33,0,17,0,5,19,"00:06:15,416","00:06:19,127"
Oh umm big scene coming Big scene coming,Joey,3,positive,33,1,17,1,5,19,"00:06:21,506","00:06:25,542"
If said `` Big lima bean bubbling '' Would understand difference,Chandler,4,neutral,33,2,17,2,5,19,"00:06:25,551","00:06:29,012"
If said `` Big lima bean bubbling '' Would understand difference,Chandler,4,neutral,34,0,17,2,5,19,"00:06:25,551","00:06:29,012"
Oh boy I ca n't watch It 's scary,Rachel,2,negative,35,1,17,4,5,19,"00:06:33,976","00:06:37,020"
It 's diaper commercial,Monica,4,neutral,35,2,17,5,5,19,"00:06:37,480","00:06:39,731"
Oh yeah well know babies responsibilities ahhh,Rachel,2,negative,35,3,17,6,5,19,"00:06:40,817","00:06:43,735"
Oh yeah well know babies responsibilities ahhh,Rachel,2,negative,36,0,17,6,5,19,"00:06:40,817","00:06:43,735"
I 'll get I get,Ross,3,positive,37,1,17,8,5,19,"0:06:49,793","0:06:50,887"
Hey wan na get something eat uh wan na see long throw ball back forth Huh,Ross,4,neutral,38,0,18,0,5,21,"00:05:05,096","00:05:09,474"
Uhh ball thing,Joey,4,neutral,38,1,18,1,5,21,"0:05:09,642","0:05:11,603"
Hey Ross would n't great could go two straight hours without dropping,Joey,3,positive,38,3,18,3,5,21,"00:05:14,022","00:05:19,109"
I pee And Rachel 's bathroom,Joey,5,negative,38,8,18,8,5,21,"00:05:30,330","00:05:34,166"
Man I n't think gon na make,Joey,6,positive,38,9,18,9,5,21,"00:05:39,047","00:05:41,548"
I know Do n't switch hands okay,Ross,2,negative,38,10,18,10,5,21,"00:05:42,383","00:05:45,969"
How go Erin,Rachel,4,neutral,40,0,20,0,7,7,"00:10:56,155","00:10:59,157"
Oh unbelievable We best time,Joey,3,positive,40,1,20,1,7,7,"00:10:59,408","00:11:01,368"
You guys totally right,Joey,3,positive,40,5,20,6,7,7,"0:11:05,303","0:11:06,298"
This much better first time went,Joey,3,positive,40,6,20,7,7,7,"00:11:06,374","00:11:08,625"
Y Åf know,Joey,4,neutral,40,7,20,8,7,7,"00:11:08,625","00:11:08,834"
That awkward really nervous,Joey,4,neutral,40,8,20,9,7,7,"00:11:08,834","00:11:11,378"
Yeah really calms,Joey,4,neutral,40,9,20,11,7,7,"0:11:12,811","0:11:14,723"
We much common,Joey,3,positive,40,11,20,13,7,7,"0:11:18,595","0:11:18,734"
She loves sandwiches sports although Met fan much issue ever kids well Åf,Joey,3,positive,40,12,20,14,7,7,"00:11:18,928","00:11:31,356"
Oh God Listen talkin Åf kids Oh Joey Oh please Åf get married I,Rachel,6,positive,40,13,20,15,7,7,"00:11:27,228","00:11:37,862"
Oh unbelievable We best time,Joey,3,positive,41,0,20,1,7,7,"00:10:59,408","00:11:01,368"
Yay Oh Åf Åf mad us anymore,Phoebe,3,positive,41,1,20,2,7,7,"00:11:01,535","00:11:06,164"
You guys totally right,Joey,3,positive,41,5,20,6,7,7,"0:11:05,303","0:11:06,298"
This much better first time went,Joey,3,positive,41,6,20,7,7,7,"00:11:06,374","00:11:08,625"
Y Åf know,Joey,4,neutral,41,7,20,8,7,7,"00:11:08,625","00:11:08,834"
That awkward really nervous,Joey,4,neutral,41,8,20,9,7,7,"00:11:08,834","00:11:11,378"
Didn Åf sleep together,Phoebe,4,neutral,41,9,20,10,7,7,"0:11:11,629","0:11:12,811"
Yeah really calms,Joey,4,neutral,41,10,20,11,7,7,"0:11:12,811","0:11:14,723"
We much common,Joey,3,positive,41,12,20,13,7,7,"0:11:18,595","0:11:18,734"
She loves sandwiches sports although Met fan much issue ever kids well Åf,Joey,3,positive,41,13,20,14,7,7,"00:11:18,928","00:11:31,356"
I sleep public place,Ross,4,neutral,42,1,21,1,1,4,"00:01:51,653","00:01:54,822"
Would look She peaceful,Monica,3,positive,42,2,21,2,1,4,"00:01:54,989","00:02:00,994"
It 's okay y'know nodded,Ross,4,neutral,42,3,21,4,1,4,"00:02:03,790","00:02:05,958"
What 's going,Monica,6,positive,42,4,21,5,1,4,"00:02:06,126","00:02:08,127"
Would look She peaceful,Monica,3,positive,43,0,21,2,1,4,"00:01:54,989","00:02:00,994"
Oh What ... Hi,Phoebe,6,positive,43,1,21,3,1,4,"00:02:01,162","00:02:03,622"
What 's going,Monica,6,positive,43,2,21,5,1,4,"00:02:06,126","00:02:08,127"
I got sleep last night,Phoebe,0,negative,43,3,21,6,1,4,"0:02:08,294","0:02:09,587"
My grandmother new boyfriend 're kind insecure bed,Phoebe,1,negative,43,4,21,8,1,4,"00:02:10,088","00:02:17,177"
So 're constantly like reassure 're good time,Phoebe,4,neutral,43,6,21,10,1,4,"00:02:20,682","00:02:24,726"
You idea loud,Phoebe,1,negative,43,7,21,11,1,4,"00:02:24,894","00:02:26,937"
Well want stay Rachel tonight,Monica,4,neutral,43,8,21,12,1,4,"0:02:29,023","0:02:30,900"
Oh What ... Hi,Phoebe,6,positive,44,0,21,3,1,4,"00:02:01,162","00:02:03,622"
It 's okay y'know nodded,Ross,4,neutral,44,1,21,4,1,4,"00:02:03,790","00:02:05,958"
I got sleep last night,Phoebe,0,negative,44,2,21,6,1,4,"0:02:08,294","0:02:09,587"
My grandmother new boyfriend 're kind insecure bed,Phoebe,1,negative,44,4,21,8,1,4,"00:02:10,088","00:02:17,177"
So 're constantly like reassure 're good time,Phoebe,4,neutral,44,6,21,10,1,4,"00:02:20,682","00:02:24,726"
You idea loud,Phoebe,1,negative,44,7,21,11,1,4,"00:02:24,894","00:02:26,937"
Ew What Something exploded,Joey,1,negative,45,0,22,0,1,23,"00:09:00,248","00:09:03,667"
It 's water breaking Calm,Nurse,4,neutral,45,1,22,1,1,23,"00:09:03,834","00:09:06,169"
Water breaking mean What 's water breaking,Joey,6,negative,45,2,22,2,1,23,"00:09:06,337","00:09:09,714"
Breathe breathe breathe,Nurse,4,neutral,45,3,22,3,1,23,"00:09:09,882","00:09:13,510"
Are insane I mean Joey going kill Åf actually going kill dead,Monica,6,negative,46,0,23,0,3,11,"00:10:13,321","00:10:19,909"
Okay You Åf think I thought,Chandler,0,negative,46,1,23,1,3,11,"00:10:17,825","00:10:19,909"
No Åf Dina,Monica,4,neutral,46,2,23,7,3,11,"00:10:28,377","00:10:30,420"
You see Åf tell one either dwha,Chandler,6,negative,46,3,23,8,3,11,"00:10:30,588","00:10:44,809"
Okay You Åf think I thought,Chandler,0,negative,47,0,23,1,3,11,"00:10:17,825","00:10:19,909"
How know one,Phoebe,6,negative,47,1,23,2,3,11,"0:10:20,870","0:10:22,422"
How know one,Phoebe,6,negative,48,0,23,2,3,11,"0:10:20,870","0:10:22,422"
I mean Åf unbelievable,Rachel,3,positive,48,1,23,3,3,11,"0:10:22,422","0:10:23,751"
I mean Åf unbelievable,Rachel,3,positive,49,0,23,3,3,11,"0:10:22,422","0:10:23,751"
I mean Gina,Monica,4,neutral,49,1,23,4,3,11,"0:10:23,873","0:10:24,873"
Dark big hair airplane earrings,Rachel,4,neutral,49,2,23,6,3,11,"00:10:26,042","00:10:28,209"
No Åf Dina,Monica,4,neutral,49,3,23,7,3,11,"00:10:28,377","00:10:30,420"
I mean Gina,Monica,4,neutral,50,0,23,4,3,11,"0:10:23,873","0:10:24,873"
Which one Gina,Ross,4,neutral,50,1,23,5,3,11,"0:10:24,873","0:10:25,937"
Which one Gina,Ross,4,neutral,51,0,23,5,3,11,"0:10:24,873","0:10:25,937"
Dark big hair airplane earrings,Rachel,4,neutral,51,1,23,6,3,11,"00:10:26,042","00:10:28,209"
I Åf know thought Åe See Saturday Åf funny,Rachel,4,neutral,52,0,24,0,3,14,"00:10:40,389","00:10:44,059"
Look honey Mark fashion okay I like friend I share stuff,Rachel,4,neutral,52,1,24,1,3,14,"00:10:44,727","00:10:49,397"
You guys would never want go lecture,Rachel,4,neutral,52,2,24,2,3,14,"00:10:49,565","00:10:51,483"
Pa-haa I would love go,Ross,3,positive,52,3,24,3,3,14,"00:10:54,987","00:10:56,571"
Yeah hey I-I clothes I even pick,Ross,4,neutral,52,5,24,5,3,14,"00:10:58,032","00:11:01,660"
I mean know I could fashion ..... monger,Ross,4,neutral,52,6,24,6,3,14,"00:11:01,827","00:11:05,121"
Okay Honey I would love go What,Rachel,3,positive,52,7,24,7,3,14,"00:11:11,379","00:11:15,256"
What I wear I Åf nervous,Ross,2,negative,52,8,24,8,3,14,"00:11:15,549","00:11:19,969"
I know Hey incredible huh,Mr. Treeger,3,positive,53,0,25,0,4,4,"00:20:36,693","00:20:40,321"
I know amazing I mean totally nailed beautiful,Joey,3,positive,53,1,25,1,4,4,"00:20:40,572","00:20:44,075"
Thank listen thanks lot Tribbiani Oh God look time I got ta catch bus ball,Mr. Treeger,3,positive,53,2,25,2,4,4,"00:20:44,284","00:20:51,916"
Oh well okay good luck,Joey,3,positive,53,3,25,3,4,4,"00:20:52,459","00:20:56,462"
Unless wan na practice Foxtrot Or-or Tango,Joey,4,neutral,53,5,25,5,4,4,"00:20:56,713","00:21:00,716"
Ahh thanks You see I-I think I Åf ready dance girls,Mr. Treeger,4,neutral,53,6,25,6,4,4,"00:21:01,093","00:21:09,350"
Go get Åe em Treeger,Joey,4,neutral,53,9,25,9,4,4,"00:21:09,601","00:21:11,852"
Right Hey ahh wan na come Marge girlfriend,Mr. Treeger,4,neutral,53,10,25,10,4,4,"00:21:16,275","00:21:19,860"
Yeah could dance real good Åf size,Mr. Treeger,4,neutral,53,12,25,12,4,4,"00:21:22,364","00:21:24,991"
No I Åf good,Joey,4,neutral,53,13,25,13,4,4,"00:21:25,367","00:21:26,867"
Oh God nerve wracking How-how,Ross,6,negative,54,0,26,0,5,18,"00:09:41,414","00:09:44,958"
Well unfortunately I n't get many callbacks,Joey,4,neutral,54,1,26,1,5,18,"00:09:45,126","00:09:48,128"
Yes I knew Bye-bye So long Later,Ross,3,positive,54,2,26,5,5,18,"00:10:03,144","00:10:13,403"
Oh great I might actually get play Ben 's dad,Joey,3,positive,54,3,26,6,5,18,"00:10:15,281","00:10:17,824"
Man gon na kinda weird,Joey,5,negative,54,5,26,11,5,18,"00:10:29,920","00:10:35,508"
No we-we 're gon na like best friends 's 's gon na weird,Ross,4,neutral,54,7,26,13,5,18,"00:10:40,514","00:10:44,142"
Well unfortunately I n't get many callbacks,Joey,4,neutral,55,0,26,1,5,18,"00:09:45,126","00:09:48,128"
Is good sign asked us hang around audition,Carol,6,positive,55,1,26,2,5,18,"00:09:49,046","00:09:51,715"
Okay uh narrowed Raymond Ben Kyle Joey The rest thank much,The Casting Director,4,neutral,56,1,26,4,5,18,"00:09:55,219","00:10:02,976"
Actually ca n't happen,The Casting Director,4,neutral,56,2,26,8,5,18,"00:10:18,743","00:10:20,243"
Yeah different looks 're putting Raymond Kyle Ben,The Casting Director,4,neutral,56,3,26,9,5,18,"00:10:20,411","00:10:25,665"
So 'll either two two,The Casting Director,4,neutral,56,4,26,10,5,18,"00:10:25,833","00:10:28,585"
Man gon na kinda weird,Joey,5,negative,56,5,26,11,5,18,"00:10:29,920","00:10:35,508"
