,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID
191,okay i ca married i something old something new something borrowed something blue,Monica,5,negative,58,0
192,okay right right right okay okay something something blue new,Chandler,3,positive,58,1
193,hurt three huge men i gave guy bloody nose i m proud i,Ross,0,negative,59,2
194,s because wonderful amazing,Ross,3,positive,59,3
195,i ve got concussion,Emily,2,negative,59,4
196,i m serious thank,Ross,3,positive,59,5
197,re welcome i m sorry i hurt,Emily,2,negative,59,6
198,s worth pain y s,Ross,5,negative,59,7
199,wow mike thing interesting i gon na phoebe david,Monica,6,positive,60,0
200,i hint huh i i,Chandler,3,positive,60,1
201,ok i sensing kind word because pink barely controlled glee,Monica,4,neutral,60,2
202,david going propose phoebe,Chandler,3,positive,60,3
203,supposed people advice,Monica,0,negative,60,6
204,could made sort inappropriate joke,Monica,0,negative,60,7
205,going out week phoebe completely hung mike,Monica,0,negative,60,9
206,say david heart will broken will hard recover phoebe will end alone,Monica,0,negative,60,10
207,father paul stevens dad ross geller,Elizabeth,4,neutral,62,0
208,s great paul,Ross,3,positive,62,1
209,i can i can,Ross,4,neutral,62,3
210,umm i if umm one chance i can i can mind,Ross,2,negative,62,4
211,s great paul,Ross,3,positive,63,0
212,i prefer elizabeth s boyfriend address stevens,Paul,4,neutral,63,1
213,course course stevens,Ross,4,neutral,63,2
214,can t girlfriend age,Paul,0,negative,63,5
215,s funny s funny,Ross,2,negative,63,6
216,i can i can,Ross,4,neutral,63,9
217,umm i if umm one chance i can i can mind,Ross,2,negative,63,10
218,okay i ll one chance mind got one minute,Paul,0,negative,63,13
219,okay i ll one chance mind got one minute,Paul,0,negative,64,0
220,okay fine i will tape huh,Joey,4,neutral,65,2
221,okay fine i will tape huh,Joey,4,neutral,66,0
222,umm matt lauer s clothes maybe one haven t cleaned,Phoebe,4,neutral,66,1
223,yeah i sure sudden hand problem anymore,Phoebe,4,neutral,67,1
224,yeah i sure sudden hand problem anymore,Phoebe,4,neutral,68,0
225,boy scout could camped,Phoebe,4,neutral,68,2
226,boy scout could camped,Phoebe,4,neutral,69,0
227,moral obligation friend woman i feminist issue,Ross,0,negative,70,5
228,moral obligation friend woman i feminist issue,Ross,0,negative,71,5
229,feminist issue i went,Joey,4,neutral,72,1
230,feminist issue i went,Joey,4,neutral,73,0
231,gon na hate,Phoebe,2,negative,73,1
232,moral obligation friend woman i feminist issue,Ross,0,negative,74,4
233,gon na hate,Phoebe,2,negative,74,7
234,s big night wanted wish good luck,Joey,3,positive,75,1
235,s big night wanted wish good luck,Joey,3,positive,76,0
236,yeah yeah ring,Ross,4,neutral,76,1
237,yeah yeah ring,Ross,4,neutral,77,0
238,yeah right pocket pheebs,Chandler,4,neutral,77,1
239,okay will guy out i surprise s gon na,Chandler,4,neutral,77,2
240,yeah right pocket pheebs,Chandler,4,neutral,78,0
241,okay will guy out i surprise s gon na,Chandler,4,neutral,78,2
242,thank s going,Monica,3,positive,80,2
243,thank s going,Monica,3,positive,81,0
244,re excited charity event,Rachel,4,neutral,81,1
245,okay umm ross,Rachel,4,neutral,82,0
246,warm i going taking off sweater,Rachel,4,neutral,82,1
247,i sorry i done i done,Rachel,4,neutral,82,4
248,last night embarrassing,Ross,4,neutral,82,5
249,i seen naked hundred time,Rachel,4,neutral,82,6
250,first rest building,Ross,4,neutral,82,7
251,okay right true i embarrass easily,Rachel,4,neutral,82,8
252,i ross i i secure person than,Rachel,4,neutral,82,10
253,hey lady i care okay i,Ross,1,negative,82,13
254,i can t,Phoebe,6,positive,83,0
255,i rode bike,Phoebe,3,positive,83,2
256,i thought i d able,Phoebe,3,positive,83,3
257,hey don t thank thank re one who faced fear ultimately overcame,Ross,3,positive,83,5
258,hey guy should,Ross,4,neutral,84,0
259,i two i i m lucky one good,Ross,4,neutral,84,1
260,i got ta check something,Joey,4,neutral,85,1
261,okay lot option number prototype,Monica,4,neutral,86,0
262,wow look great,Joey,3,positive,86,1
263,yeah okay one mushroom cap umm one made bologna,Monica,3,positive,86,2
264,i m gon na water,Ross,4,neutral,88,1
265,i took hotel lobby,Ross,4,neutral,88,2
266,yeah can charge dirty movie bag mashuga nut got coming,Ross,0,negative,88,3
267,i ve looking month,Ross,6,positive,88,6
268,i m gon na water,Ross,4,neutral,89,0
269,wait stole people s wedding,Phoebe,6,negative,89,1
270,i took hotel lobby,Ross,4,neutral,89,2
271,yeah can charge dirty movie bag mashuga nut got coming,Ross,0,negative,89,3
272,i ve looking month,Ross,6,positive,89,6
273,happy i m supposed vic happy,Kate,0,negative,91,0
274,don t re supposed,Joey,0,negative,91,1
275,because i sure hell can t figure out,Joey,0,negative,91,3
276,i character s gon na little bit reason than,Kate,4,neutral,91,8
277,s say script,Joey,0,negative,91,10
278,don t character like i say script re bitch,Joey,0,negative,91,11
279,doesn t say script,Kate,0,negative,91,12
280,don t re supposed,Joey,0,negative,92,0
281,because i sure hell can t figure out,Joey,0,negative,92,2
282,tasty i m starting guy history s nice,The Director,3,positive,92,6
283,peel onion first s good looking,The Director,4,neutral,92,7
284,s say script,Joey,0,negative,92,10
285,don t character like i say script re bitch,Joey,0,negative,92,11
286,tasty i m starting guy history s nice,The Director,3,positive,93,0
287,i question scene,Kate,4,neutral,93,1
288,i don t adrienne s attracted victor,Kate,1,negative,93,3
289,peel onion first s good looking,The Director,4,neutral,93,4
290,i can t,Phoebe,0,negative,94,0
291,yeah got ta girl tape rookie mistake,Joey,0,negative,94,1
292,yeah got ta girl tape rookie mistake,Joey,0,negative,95,0
293,y who great video camera,Chandler,4,neutral,95,1
294,yeah if brought friend souvenir,Joey,3,positive,95,3
295,y who great video camera,Chandler,4,neutral,96,0
296,wan na em i wan na em,Monica,4,neutral,97,1
297,wan na em i wan na em,Monica,4,neutral,98,0
298,sorry wrong number,Monica,2,negative,98,2
299,hello s deli again,Monica,6,negative,98,4
300,yeah if brought friend souvenir,Joey,3,positive,99,0
301,hello eighth street deli,Monica,4,neutral,99,1
302,hey hang food poisoning talkin place,Joey,1,negative,99,2
303,sorry wrong number,Monica,2,negative,99,3
304,hello s deli again,Monica,6,negative,99,4
305,right i ll sandwich,Joey,3,positive,99,5
306,i don t number s right,Monica,5,negative,99,6
307,i don t number s right,Monica,5,negative,100,0
308,got ta i miss i getting real late,Mr. Tribbiani,5,negative,101,0
309,hey ma listen i made appointment bazida excuse ma,Joey,6,negative,101,1
310,name ronni pet mortician,Mr. Tribbiani,4,neutral,101,2
311,little kid i used navy yard big ship,Mr. Tribbiani,4,neutral,101,4
312,i wanted nice memory head i terrible guy,Mr. Tribbiani,4,neutral,101,7
313,joe dad big time worst part two different woman,Mr. Tribbiani,4,neutral,101,13
314,man please one ma,Joey,1,negative,101,14
315,course course one ma matter,Mr. Tribbiani,6,negative,101,15
316,everything s gon na right okay dick,Chandler,4,neutral,102,0
317,hello i guru saj whoa s supposed duck right cause otherwise waaay out league,Guru Saj,6,negative,102,1
318,great although i down wasn t chair,Rachel,4,neutral,103,1
319,way ross dropped box stuff,Monica,4,neutral,103,2
320,i guess i one coming,Rachel,4,neutral,103,3
321,i m gon na throw out s probably bunch shampoo,Rachel,4,neutral,103,4
322,said thing bringing mesozoic era century,Charlie,4,neutral,104,0
323,dude i sorry i said,Joey,5,negative,105,0
324,re right ridiculous name,Chandler,1,negative,105,1
325,yes i first name,Chandler,0,negative,105,3
326,because won apartment back,Monica,3,positive,106,0
327,ace high jack queen king ace,Joey,6,negative,106,1
328,ace low ace two three four,Monica,0,negative,106,2
329,pick again pick again,Monica,3,positive,106,3
330,i don t,Monica,2,negative,106,5
331,ace low ace two three four,Monica,0,negative,107,0
332,i don t ooh ooh,Phoebe,6,positive,107,1
333,i don t ooh ooh,Phoebe,6,positive,108,0
334,right s pick again pick again,Rachel,4,neutral,108,1
335,right s pick again pick again,Rachel,4,neutral,109,0
336,apartment apartment i queen high,Rachel,0,negative,109,2
337,high worked king,Joey,6,positive,109,3
338,high worked king,Joey,6,positive,110,0
339,ticket please s courtside baby,Chandler,3,positive,110,2
340,seriously good game though good game mad apartment back,Joey,6,negative,110,3
341,pick again pick again,Monica,3,positive,111,1
342,i don t,Monica,2,negative,111,2
343,ticket please s courtside baby,Chandler,3,positive,111,3
344,i brought enough stuff forget pack baby anvil,Chandler,4,neutral,112,0
345,gon na worth,Joey,4,neutral,112,1
346,known fact woman baby right,Joey,4,neutral,112,2
347,woman guy who baby,Joey,4,neutral,112,3
348,whole sensitive thing,Joey,4,neutral,112,4
349,quick aim pack o babe,Joey,4,neutral,112,5
350,maybe one will break away,Joey,4,neutral,112,6
351,wait got one hard left,Joey,3,positive,112,7
352,right gim baby,Joey,4,neutral,112,8
353,wan na smell,Joey,4,neutral,112,13
354,yeah got great baby smell whiff head,Joey,3,positive,112,14
355,i technically s rule anything frowned,Ross,4,neutral,113,1
356,especially professor ran last night judgey von holierthanthou,Ross,0,negative,113,2
357,ross careful don t reputation y professor mcnailshisstudents,Monica,3,positive,113,3
358,yeah should i,Ross,2,negative,113,4
359,re going out again,Monica,6,negative,113,5
360,going out who,Ross,4,neutral,113,6
361,i technically s rule anything frowned,Ross,4,neutral,114,1
362,especially professor ran last night judgey von holierthanthou,Ross,0,negative,114,2
363,yeah should i,Ross,2,negative,114,3
364,ross seems pretty clear,Joey,4,neutral,114,4
365,i s important,Joey,4,neutral,114,5
366,ross got ta heart,Joey,4,neutral,114,7
367,ross seems pretty clear,Joey,4,neutral,115,0
368,i s important,Joey,4,neutral,115,1
369,ross got ta heart,Joey,4,neutral,115,3
370,joey didn t,Monica,6,positive,115,5
371,hey relax i time re going dinner tonight,Chandler,4,neutral,116,2
372,re going out again,Monica,6,negative,116,3
373,joey didn t,Monica,6,positive,116,5
374,ross seems pretty clear,Joey,4,neutral,117,0
375,i s important,Joey,4,neutral,117,1
376,ross got ta heart,Joey,4,neutral,117,3
377,dana reason i should block time say thursday,Joey,4,neutral,117,5
378,i couldn t,Chandler,5,negative,117,6
379,hey relax i time re going dinner tonight,Chandler,4,neutral,117,8
380,i technically s rule anything frowned,Ross,4,neutral,118,1
381,especially professor ran last night judgey von holierthanthou,Ross,0,negative,118,2
382,going out who,Ross,4,neutral,118,3
383,dana keystone college,Chandler,4,neutral,118,4
384,yeah wasn t,Ross,6,positive,118,5
385,morning hey s favorite genius little robot buddy,Joey,3,positive,119,0
386,don t touch,Wayne,0,negative,119,1
387,umm right wayne level,Joey,4,neutral,119,4
388,hearing rumor i might fired,Joey,2,negative,119,5
389,okay actor coming part,Joey,2,negative,119,6
390,man got second chance,Joey,5,negative,119,7
391,i i little guy,Joey,3,positive,119,8
392,okay s didn t touch right,Joey,6,negative,119,10
393,i can t,Joey,6,negative,119,14
394,hi happened earlier,Rachel,5,negative,120,1
395,hey completely stressed,Ross,4,neutral,120,2
396,i gon na chance apologise,Rachel,1,negative,120,3
397,letting throw out office,Ross,0,negative,120,4
398,yeah excuse wanting girlfriend anniversary boy as i,Ross,0,negative,120,6
399,i told i didn t time,Rachel,0,negative,120,7
400,yeah time i i don t i girlfriend anymore rachel,Ross,0,negative,120,8
401,quit job can girlfriend,Rachel,0,negative,120,10
402,ooh i something,Phoebe,3,positive,121,1
403,i can t,Phoebe,4,neutral,121,3
404,okay wouldn t easier if something could,Monica,4,neutral,121,4
405,sure perfect world i promised i wouldn t i swore god,Phoebe,4,neutral,121,5
406,okay ross rachel,Monica,4,neutral,121,6
407,chandler sock keep bed,Monica,4,neutral,121,10
408,s back later,Phoebe,4,neutral,121,11
409,actually i m complement chef,Richard,4,neutral,122,2
410,s okay i hate people back complement chef,Monica,4,neutral,122,3
411,i nothing better,Monica,4,neutral,122,4
412,great seeing night,Richard,3,positive,122,6
413,i came something else i came i,Richard,3,positive,122,8
414,one pregnant woman time please i okay,Joey,1,negative,123,0
415,forcing marry bobby gon na,Rachel,5,negative,123,1
416,maybe kind music numb nut forget i can t,Joey,0,negative,123,2
417,okay bobby don t little moment,Rachel,4,neutral,123,3
418,seriously s wrong,Rachel,0,negative,123,5
419,maybe kind music numb nut forget i can t,Joey,0,negative,124,0
420,joey i scared death,Dina,2,negative,124,1
421,i i can i m gon na,Dina,2,negative,124,2
422,bobby s gon na whole time,Dina,4,neutral,124,3
423,rachel s told easier ve made can t,Dina,0,negative,124,4
424,because cause re baby sister,Joey,5,negative,124,5
425,re big brother,Dina,3,positive,124,6
426,i re favorite guy whole world,Dina,4,neutral,124,7
427,i m scared mom dad,Dina,4,neutral,124,8
428,i scared telling,Dina,2,negative,124,9
429,i d scared right,Joey,2,negative,124,10
430,joey i can t thought baby mad,Dina,5,negative,124,11
431,baby gon na uncle joey,Dina,5,negative,124,13
432,course s gon na uncle joey,Joey,3,positive,124,14
433,re gon na right i if re married baby gon na loved u,Dina,3,positive,124,15
434,s right uncle,Joey,3,positive,124,16
435,joey i scared death,Dina,2,negative,125,0
436,i i can i m gon na,Dina,2,negative,125,1
437,bobby s gon na whole time,Dina,4,neutral,125,2
438,bet i answer earlier question re gangster rap,Bobby,3,positive,125,3
439,rachel s told easier ve made can t,Dina,0,negative,125,4
440,re big brother,Dina,3,positive,125,5
441,i re favorite guy whole world,Dina,4,neutral,125,6
442,i m scared mom dad,Dina,4,neutral,125,7
443,i scared telling,Dina,2,negative,125,8
444,joey i can t thought baby mad,Dina,5,negative,125,9
445,baby gon na uncle joey,Dina,5,negative,125,11
446,s right uncle,Joey,3,positive,126,0
447,okay bobby don t little moment,Rachel,4,neutral,127,1
448,i nice time tonight,Danny,3,positive,128,0
449,i glad monica asked u out,Rachel,3,positive,128,1
450,i sister visiting i asleep couch,Danny,4,neutral,128,2
451,sister sister asleep couch ohhh i saw,Rachel,6,positive,128,3
452,hey great rachel sister krista krista rachel,Danny,4,neutral,128,4
453,dead i gon na,Danny,3,positive,128,6
454,nice i wish told company i fix,Krista,6,positive,129,1
455,nice i wish told company i fix,Krista,6,positive,130,0
456,dead i gon na,Danny,3,positive,130,9
457,god victoria secret model something something goodacre,Chandler,6,positive,131,0
458,hi mom jill,Jill,4,neutral,131,1
459,right jill jill goodacre god i trapped atm vestibule jill goodacre,Chandler,6,positive,131,2
460,yeah i fine i stuck bank atm vestibule,Jill,4,neutral,131,3
461,jill say vestibule i going vestibule,Chandler,4,neutral,131,4
462,i fine i alone i guy,Jill,4,neutral,131,5
463,guy guy jill i saw guy last night yes,Chandler,3,positive,131,6
464,personal shopping snooty rich people,Phoebe,4,neutral,132,0
465,umm excuse switched apartment can t eat food anymore gravy train ended,Monica,0,negative,134,1
466,if big apartment deal people coming time,Monica,4,neutral,134,3
467,fridge got stocked okay s department,Monica,4,neutral,134,4
468,i i left donut,Joey,4,neutral,134,6
469,excuse i forgot briefcase accident,Stevens,4,neutral,135,0
470,forgot something else ya bastard,Doug,3,positive,135,2
471,re feeling left out anything ya,Doug,4,neutral,135,4
472,forgot something else ya bastard,Doug,3,positive,136,1
473,re feeling left out anything ya,Doug,4,neutral,136,3
474,everybody else got one one don t,Doug,3,positive,136,5
475,hey s pal toby today,Bob,3,positive,137,1
476,if i i ll,Chandler,4,neutral,137,2
477,re name basis,Chandler,4,neutral,138,2
478,bob ooh working u everyday yeah i don t if take,Chandler,6,negative,138,4
479,eleven s almost twice hard,Chandler,4,neutral,138,6
480,hey guess i got wedding,Ross,3,positive,139,0
481,freakish thin date hanger head,Chandler,4,neutral,139,1
482,rachel hooked tux tux batman s tux,Ross,3,positive,139,2
483,s right made expressly val kilmer worn hit batman film,Ross,3,positive,139,4
484,can t wear i m wearing famous tux james bond s tux,Chandler,0,negative,139,5
485,if wear ll mine le special,Chandler,5,negative,139,7
486,sorry i don t idea i say i s thinking yeah i d,Chandler,0,negative,140,0
487,guy thank marrying u,Chandler,4,neutral,141,3
488,re trying someone perform wedding re boring annoying y can t staring lady,Monica,4,neutral,142,1
489,oo should one u,Phoebe,3,positive,142,2
490,phoebe re getting,Monica,4,neutral,142,3
491,s real thing anyone can ordained internet perform wedding stuff,Phoebe,3,positive,142,4
492,s real thing anyone can ordained internet perform wedding stuff,Phoebe,3,positive,143,0
493,guy thank marrying u,Chandler,4,neutral,144,0
494,calling anything anymore,Joey,0,negative,144,1
495,going legitimate member clergy i say legitimate i gay control saliva,Chandler,4,neutral,144,2
496,i big passion future,Ross,3,positive,145,0
497,ross great playfully rub head get,Rachel,3,positive,145,3
498,supposed good thing i forget,Phoebe,4,neutral,146,0
499,listen monica i okay i couldn t sleep month because i got dot ink one sofa cushion,Phoebe,4,neutral,146,1
500,coulda turned cushion,Monica,4,neutral,146,2
501,yeah i would ve i big spaghetti stain side,Phoebe,4,neutral,146,3
502,okay i m talking land people can spill,Phoebe,4,neutral,146,5
503,can spill sink,Monica,4,neutral,146,6
504,aw honey s fault who i i u friend if i living i don t happening,Phoebe,5,negative,146,7
505,i m said,Monica,5,negative,146,10
506,re re wondering cushion,Phoebe,4,neutral,146,11
507,i would ross s great thank,Rachel,3,positive,147,2
508,i m glad i could y out,Ross,4,neutral,147,3
509,i i i gon na homeless,Rachel,5,negative,147,5
510,hero i i don t right,Ross,4,neutral,147,8
511,i monica wonderful brother,Rachel,3,positive,147,9
512,please re gon na say thing aren t ya,Ross,3,positive,147,10
513,please re gon na say thing aren t ya,Ross,3,positive,148,0
514,i won t,Phoebe,4,neutral,148,2
515,i should exact thing happened roommate denise,Phoebe,4,neutral,148,3
