,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID
144,oh wow dinosaur,Mona,6,22,2
145,much,Ross,4,22,3
146,well well sum fun look young,Ross,4,23,0
147,okay,Mona,4,23,1
148,enough key apartment,Ross,4,23,2
149,really,Mona,6,23,3
150,really,Ross,4,23,4
151,think fast,Mona,4,23,5
152,get,Ross,0,24,0
153,ross talk minute,Charlie,4,24,1
154,yes please going,Ross,4,24,2
155,uh well joey broke,Charlie,5,24,3
156,oh god happened,Ross,6,24,4
157,joey great guy different mean speech kept laughing homo erectus,Charlie,5,24,5
158,knew,Ross,0,24,6
159,anyway uh think best,Charlie,5,24,7
160,hey ok,Ross,4,24,8
161,guess,Charlie,5,24,9
162,hum another reason thought time end joey,Charlie,4,24,10
163,started realize feeling someone else,Charlie,4,24,11
164,oh professor clerk kind middle conversation,Ross,4,24,12
165,yeah guy throw pool later,Charlie,4,24,13
166,ok gentleman,Ross,0,24,14
167,please,Ross,0,24,15
168,little old,Ross,0,24,16
169,mean scientist right,Ross,4,24,17
170,academic,Ross,0,24,18
171,importantly catch u first,Ross,3,24,19
172,go go go,Ross,3,24,20
173,guess,Charlie,5,25,0
174,hum another reason thought time end joey,Charlie,4,25,1
175,started realize feeling someone else,Charlie,4,25,2
176,ok geller last day conference know happens keynote speaker,Paleontologist,4,25,3
177,ok geller last day conference know happens keynote speaker,Paleontologist,4,26,0
178,oh professor clerk kind middle conversation,Ross,4,26,1
179,ok gentleman,Ross,0,26,2
180,please,Ross,0,26,3
181,little old,Ross,0,26,4
182,mean scientist right,Ross,4,26,5
183,academic,Ross,0,26,6
184,importantly catch u first,Ross,3,26,7
185,go go go,Ross,3,26,8
186,guess,Charlie,5,27,0
187,hum another reason thought time end joey,Charlie,4,27,1
188,started realize feeling someone else,Charlie,4,27,2
189,yeah guy throw pool later,Charlie,4,27,3
190,could throw,Professore Clerk,3,27,4
191,could throw,Professore Clerk,3,28,0
192,ok gentleman,Ross,0,28,1
193,please,Ross,0,28,2
194,little old,Ross,0,28,3
195,mean scientist right,Ross,4,28,4
196,academic,Ross,0,28,5
197,importantly catch u first,Ross,3,28,6
198,go go go,Ross,3,28,7
199,go go go,Ross,3,29,0
200,oh yeah everybody want hat,Rachel,3,29,1
201,oh yeah everybody want hat,Rachel,3,30,0
202,oy,Phoebe,1,30,1
203,oy,Phoebe,1,31,0
204,sand,Monica,6,31,1
205,oh yeah bob said might flood damage,Phoebe,4,31,2
206,oh yeah bob said might flood damage,Phoebe,4,32,0
207,yeah either really big cat,Ross,4,32,1
208,okay see blind guy right gon na bash head later,Joey,0,33,0
209,oh umm big scene coming big scene coming,Joey,3,33,1
210,said big lima bean bubbling would understand difference,Chandler,4,33,2
211,said big lima bean bubbling would understand difference,Chandler,4,34,0
212,rach,Monica,4,34,1
213,rach,Monica,4,35,0
214,oh boy ca watch scary,Rachel,2,35,1
215,diaper commercial,Monica,4,35,2
216,oh yeah well know baby responsibility ahhh,Rachel,2,35,3
217,oh yeah well know baby responsibility ahhh,Rachel,2,36,0
218,pizza delivery,Caitlin,3,36,1
219,pizza delivery,Caitlin,3,37,0
220,get get,Ross,3,37,1
221,hi,Caitlin,3,37,2
222,hi,Ross,3,37,3
223,hey wan na get something eat uh wan na see long throw ball back forth huh,Ross,4,38,0
224,uhh ball thing,Joey,4,38,1
225,yeah,Ross,4,38,2
226,hey ross would great could go two straight hour without dropping,Joey,3,38,3
227,uhh,Ross,4,38,4
228,okay,Joey,3,38,5
229,pee rachel bathroom,Joey,5,38,8
230,man think gon na make,Joey,6,38,9
231,know switch hand okay,Ross,2,38,10
232,hey,Joey,4,39,0
233,hey,Phoebe,4,39,1
234,go erin,Rachel,4,40,0
235,oh unbelievable best time,Joey,3,40,1
236,guy totally right,Joey,3,40,5
237,much better first time went,Joey,3,40,6
238,know,Joey,4,40,7
239,awkward really nervous,Joey,4,40,8
240,yeah really calm,Joey,4,40,9
241,much common,Joey,3,40,11
242,love sandwich sport although met fan much issue ever kid well,Joey,3,40,12
243,oh god listen talkin kid oh joey oh please get married,Rachel,6,40,13
244,okay,Joey,4,40,14
245,oh unbelievable best time,Joey,3,41,0
246,yay oh mad u anymore,Phoebe,3,41,1
247,guy totally right,Joey,3,41,5
248,much better first time went,Joey,3,41,6
249,know,Joey,4,41,7
250,awkward really nervous,Joey,4,41,8
251,sleep together,Phoebe,4,41,9
252,yeah really calm,Joey,4,41,10
253,much common,Joey,3,41,12
254,love sandwich sport although met fan much issue ever kid well,Joey,3,41,13
255,sleep public place,Ross,4,42,1
256,would look peaceful,Monica,3,42,2
257,okay nodded,Ross,4,42,3
258,going,Monica,6,42,4
259,would look peaceful,Monica,3,43,0
260,oh hi,Phoebe,6,43,1
261,going,Monica,6,43,2
262,got sleep last night,Phoebe,0,43,3
263,grandmother new boyfriend kind insecure bed,Phoebe,1,43,4
264,oh deaf,Phoebe,4,43,5
265,constantly like reassure good time,Phoebe,4,43,6
266,idea loud,Phoebe,1,43,7
267,well want stay rachel tonight,Monica,4,43,8
268,thanks,Phoebe,3,43,9
269,oh hi,Phoebe,6,44,0
270,okay nodded,Ross,4,44,1
271,got sleep last night,Phoebe,0,44,2
272,grandmother new boyfriend kind insecure bed,Phoebe,1,44,4
273,oh deaf,Phoebe,4,44,5
274,constantly like reassure good time,Phoebe,4,44,6
275,idea loud,Phoebe,1,44,7
276,ew something exploded,Joey,1,45,0
277,water breaking calm,Nurse,4,45,1
278,water breaking mean water breaking,Joey,6,45,2
279,breathe breathe breathe,Nurse,4,45,3
280,insane mean joey going kill actually going kill dead,Monica,6,46,0
281,okay think thought,Chandler,0,46,1
282,dina,Monica,4,46,2
283,see tell one either dwha,Chandler,6,46,3
284,okay think thought,Chandler,0,47,0
285,know one,Phoebe,6,47,1
286,know one,Phoebe,6,48,0
287,mean unbelievable,Rachel,3,48,1
288,mean unbelievable,Rachel,3,49,0
289,mean gina,Monica,4,49,1
290,dark big hair airplane earring,Rachel,4,49,2
291,dina,Monica,4,49,3
292,mean gina,Monica,4,50,0
293,one gina,Ross,4,50,1
294,one gina,Ross,4,51,0
295,dark big hair airplane earring,Rachel,4,51,1
296,know thought see saturday funny,Rachel,4,52,0
297,look honey mark fashion okay like friend share stuff,Rachel,4,52,1
298,guy would never want go lecture,Rachel,4,52,2
299,would love go,Ross,3,52,3
300,really,Rachel,6,52,4
301,yeah hey clothes even pick,Ross,4,52,5
302,mean know could fashion monger,Ross,4,52,6
303,okay honey would love go,Rachel,3,52,7
304,wear nervous,Ross,2,52,8
305,know hey incredible huh,Mr. Treeger,3,53,0
306,know amazing mean totally nailed beautiful,Joey,3,53,1
307,thank listen thanks lot tribbiani oh god look time got ta catch bus ball,Mr. Treeger,3,53,2
308,oh well okay good luck,Joey,3,53,3
309,yeah,Mr. Treeger,4,53,4
310,unless wan na practice foxtrot tango,Joey,4,53,5
311,ahh thanks see think ready dance girl,Mr. Treeger,4,53,6
312,okay,Joey,4,53,7
313,yeah,Mr. Treeger,4,53,8
314,go get em treeger,Joey,4,53,9
315,right hey ahh wan na come marge girlfriend,Mr. Treeger,4,53,10
316,really,Joey,6,53,11
317,yeah could dance real good size,Mr. Treeger,4,53,12
318,good,Joey,4,53,13
319,oh god nerve wracking,Ross,6,54,0
320,well unfortunately get many callback,Joey,4,54,1
321,yes knew long later,Ross,3,54,2
322,oh great might actually get play ben dad,Joey,3,54,3
323,yeah,Ross,3,54,4
324,man gon na kinda weird,Joey,5,54,5
325,yeah,Ross,4,54,6
326,gon na like best friend gon na weird,Ross,4,54,7
327,well unfortunately get many callback,Joey,4,55,0
328,good sign asked u hang around audition,Carol,6,55,1
329,know,Joey,4,55,2
330,know,Joey,4,56,0
331,okay uh narrowed raymond ben kyle joey rest thank much,The Casting Director,4,56,1
332,actually ca happen,The Casting Director,4,56,2
333,yeah different look putting raymond kyle ben,The Casting Director,4,56,3
334,either two two,The Casting Director,4,56,4
335,man gon na kinda weird,Joey,5,56,5
336,okay uh narrowed raymond ben kyle joey rest thank much,The Casting Director,4,57,0
337,yes knew long later,Ross,3,57,1
338,yeah,Ross,3,57,2
339,actually ca happen,The Casting Director,4,57,3
340,yeah different look putting raymond kyle ben,The Casting Director,4,57,4
341,either two two,The Casting Director,4,57,5
342,yeah,Ross,4,57,6
343,gon na like best friend gon na weird,Ross,4,57,7
344,okay come ca get married get something old something new something borrowed something blue,Monica,5,58,0
345,okay right right right okay okay something something blue new,Chandler,3,58,1
346,please,Ross,0,59,0
347,kidding,Ross,0,59,1
348,hurt three huge men gave guy bloody nose mean proud really,Ross,0,59,2
349,wonderful amazing,Ross,3,59,3
350,think got concussion,Emily,2,59,4
351,serious thank,Ross,3,59,5
352,welcome sorry hurt,Emily,2,59,6
353,worth pain know know,Ross,5,59,7
354,wow mike thing interesting know gon na happen phoebe david,Monica,6,60,0
355,want hint huh,Chandler,3,60,1
356,ok sensing kind word play pink barely controlled glee,Monica,4,60,2
357,david going propose phoebe,Chandler,3,60,3
358,chandler talked,Monica,0,60,5
359,supposed give people advice,Monica,0,60,6
360,could made sort inappropriate joke,Monica,0,60,7
361,going week phoebe completely hung mike,Monica,0,60,9
362,say david heart broken hard recover phoebe end alone,Monica,0,60,10
363,man,Chandler,6,60,11
364,man,Chandler,6,61,0
365,oh want,Ross,4,61,1
366,father paul stevens dad ross geller,Elizabeth,4,62,0
367,great meet paul,Ross,3,62,1
368,okay,Ross,4,62,2
369,see,Ross,4,62,3
370,umm think give umm one chance change mind,Ross,2,62,4
371,great meet paul,Ross,3,63,0
372,usually prefer elizabeth boyfriend address stevens,Paul,4,63,1
373,course course stevens,Ross,4,63,2
374,ross problem,Paul,0,63,3
375,excuse,Ross,6,63,4
376,get girlfriend age,Paul,0,63,5
377,funny funny,Ross,2,63,6
378,okay,Ross,4,63,8
379,see,Ross,4,63,9
380,umm think give umm one chance change mind,Ross,2,63,10
381,okay,Paul,4,63,11
382,okay give one chance change mind got one minute,Paul,0,63,13
383,okay give one chance change mind got one minute,Paul,0,64,0
384,daddy,Elizabeth,6,64,1
385,oh well tv yet,Joey,4,65,0
386,well wall yet,The Dry Cleaner,4,65,1
387,okay fine bring tape huh,Joey,4,65,2
388,okay fine bring tape huh,Joey,4,66,0
389,umm matt lauer clothes maybe one cleaned yet,Phoebe,4,66,1
390,ooooohh,Joey and Chandler,6,67,0
391,oh yeah sure sudden hand problem anymore,Phoebe,4,67,1
392,oh yeah sure sudden hand problem anymore,Phoebe,4,68,0
393,oh boy scout could camped,Phoebe,4,68,2
394,uma thurman,Phoebe,4,68,3
395,oh,Monica,6,68,4
396,oh boy scout could camped,Phoebe,4,69,0
397,ooo,Rachel,6,69,1
398,uma thurman,Phoebe,4,69,2
399,oh,Monica,6,70,0
400,actress,Ross,6,70,1
401,thanks rach,Ross,4,70,2
402,tell,Ross,3,70,3
403,tell,Ross,3,70,4
404,moral obligation friend woman think feminist issue,Ross,0,70,5
405,guy,Ross,0,70,6
406,guy,Ross,0,70,7
407,actress,Ross,6,71,0
408,thanks rach,Ross,4,71,1
409,gon na,Chandler,6,71,2
410,tell,Ross,3,71,3
411,tell,Ross,3,71,4
412,moral obligation friend woman think feminist issue,Ross,0,71,5
413,guy,Ross,0,71,6
414,guy,Ross,0,71,7
415,oh yeah tell,Chandler,4,71,8
416,oh yeah tell,Chandler,4,72,0
417,feminist issue went,Joey,4,72,1
418,feminist issue went,Joey,4,73,0
419,gon na hate,Phoebe,2,73,1
420,actress,Ross,6,74,0
421,thanks rach,Ross,4,74,1
422,tell,Ross,3,74,2
423,tell,Ross,3,74,3
424,moral obligation friend woman think feminist issue,Ross,0,74,4
425,guy,Ross,0,74,5
426,guy,Ross,0,74,6
427,gon na hate,Phoebe,2,74,7
428,yeah well,Ross,4,74,8
429,marry,Chandler,2,75,0
430,big night wanted wish good luck,Joey,3,75,1
431,big night wanted wish good luck,Joey,3,76,0
432,yeah yeah ring,Ross,4,76,1
433,yeah yeah ring,Ross,4,77,0
434,yeah right pocket pheebs,Chandler,4,77,1
435,okay guy get want surprise gon na know,Chandler,4,77,2
436,guy get,Ross,4,77,3
437,yeah right pocket pheebs,Chandler,4,78,0
438,oh oop,Phoebe,6,78,1
439,okay guy get want surprise gon na know,Chandler,4,78,2
440,guy get,Ross,4,79,0
441,hi guy,Monica,4,79,1
442,hi guy,Monica,4,80,0
443,beautiful,Chandler,3,80,1
444,oh thank going,Monica,3,80,2
445,oh thank going,Monica,3,81,0
446,excited charity event go,Rachel,4,81,1
447,okay umm ross,Rachel,4,82,0
448,really warm going taking sweater,Rachel,4,82,1
449,letting know,Rachel,4,82,2
450,yep hilarious,Ross,3,82,3
451,sorry done done,Rachel,4,82,4
452,last night embarrassing,Ross,4,82,5
453,really mean seen naked hundred time,Rachel,4,82,6
454,first rest building,Ross,4,82,7
455,okay right true embarrass easily,Rachel,4,82,8
456,totally get embarrassed,Ross,6,82,9
457,ross think secure person,Rachel,4,82,10
458,yeah,Rachel,4,82,12
459,hey lady care much want okay,Ross,1,82,13
460,believe,Phoebe,6,83,0
461,rode bike,Phoebe,3,83,2
462,never thought able,Phoebe,3,83,3
463,thank ross,Phoebe,3,83,4
464,oh hey thank thank one faced fear ultimately overcame,Ross,3,83,5
465,hey guy,Ross,4,84,0
466,mean two mean lucky one good,Ross,4,84,1
467,thanks man,Chandler,4,84,2
468,baby,Chandler,5,84,3
469,total wuss,Ross,5,84,4
470,thanks man,Chandler,4,85,0
471,got ta go check something,Joey,4,85,1
472,baby,Chandler,5,85,2
473,okay lot option number prototype try,Monica,4,86,0
474,wow look great,Joey,3,86,1
475,yeah okay one mushroom cap umm one made bologna,Monica,3,86,2
476,toothpick,Joey,1,86,3
477,kissed another woman,Monica,0,87,0
478,call even,Chandler,4,87,1
479,okay,Monica,3,87,2
480,okay,Monica,3,88,0
481,well gon na go get water,Ross,4,88,1
482,took hotel lobby,Ross,4,88,2
483,yeah think charge dirty movie bag mashuga nut got another think coming,Ross,0,88,3
484,hey,Ross,6,88,4
485,sweater,Ross,6,88,5
486,looking like month,Ross,6,88,6
487,well gon na go get water,Ross,4,89,0
488,wait stole people wedding,Phoebe,6,89,1
489,took hotel lobby,Ross,4,89,2
490,yeah think charge dirty movie bag mashuga nut got another think coming,Ross,0,89,3
491,hey,Ross,6,89,4
492,sweater,Ross,6,89,5
493,looking like month,Ross,6,89,6
494,oh god,Phoebe,6,89,7
495,oh god,Phoebe,6,90,0
496,oh god,Joey,6,90,1
497,happy supposed vic happy,Kate,0,91,0
498,well tell supposed,Joey,0,91,1
499,huh,Joey,6,91,2
500,sure hell figure,Joey,0,91,3
501,talk nothin,Joey,0,91,4
502,look nothin,Joey,0,91,5
503,nothing,Joey,0,91,6
504,yeah,Joey,4,91,7
505,think character gon na need little bit reason,Kate,4,91,8
506,oh hey one,Joey,4,91,9
507,ah say script,Joey,0,91,10
508,ah know character like either mean say script bitch,Joey,0,91,11
509,say script,Kate,0,91,12
510,mine,Joey,0,91,13
511,well tell supposed,Joey,0,92,0
512,huh,Joey,6,92,1
513,sure hell figure,Joey,0,92,2
514,talk nothin,Joey,0,92,3
515,look nothin,Joey,0,92,4
516,nothing,Joey,0,92,5
517,tasty really starting feel like guy history nice,The Director,3,92,6
518,peel onion first good looking,The Director,4,92,7
519,yeah,Joey,4,92,8
520,oh hey one,Joey,4,92,9
521,ah say script,Joey,0,92,10
522,ah know character like either mean say script bitch,Joey,0,92,11
523,tasty really starting feel like guy history nice,The Director,3,93,0
524,question scene,Kate,4,93,1
525,yes,The Director,4,93,2
526,well understand adrienne attracted victor,Kate,1,93,3
527,peel onion first good looking,The Director,4,93,4
528,yeah got ta tell girl tape rookie mistake,Joey,0,94,1
529,yeah got ta tell girl tape rookie mistake,Joey,0,95,0
530,know great video camera,Chandler,4,95,1
531,let call em,Chandler,4,95,2
532,yeah ask brought friend souvenir,Joey,3,95,3
533,know great video camera,Chandler,4,96,0
534,greg jenny,Phoebe,4,96,1
535,greg jenny,Phoebe,4,97,0
536,still wan na call em wan na call em,Monica,4,97,1
537,still wan na call em wan na call em,Monica,4,98,0
538,let call em,Chandler,4,98,1
539,uh sorry wrong number,Monica,2,98,2
540,go,Chandler,4,98,3
541,hello deli,Monica,6,98,4
542,yeah ask brought friend souvenir,Joey,3,99,0
543,hello eighth street deli,Monica,4,99,1
544,hey hang get food poisoning talkin place,Joey,1,99,2
545,uh sorry wrong number,Monica,2,99,3
546,hello deli,Monica,6,99,4
547,right sandwich,Joey,3,99,5
548,think number right,Monica,5,99,6
549,think number right,Monica,5,100,0
550,oh come,Rachel,5,100,1
551,got ta go miss love getting real late,Mr. Tribbiani,5,101,0
552,hey listen made appointment bazida excuse know,Joey,6,101,1
553,name ronni pet mortician,Mr. Tribbiani,4,101,2
554,sure long,Joey,4,101,3
555,remember little kid used take navy yard show big ship,Mr. Tribbiani,4,101,4
556,since,Joey,6,101,5
557,six year,Mr. Tribbiani,4,101,6
558,wanted put nice memory head know always terrible guy,Mr. Tribbiani,4,101,7
559,joe,Mr. Tribbiani,4,101,8
560,love,Mr. Tribbiani,4,101,9
561,burning tomato,Mr. Tribbiani,4,101,11
562,one talk,Joey,1,101,12
563,joe dad love big time worst part two different woman,Mr. Tribbiani,4,101,13
564,oh man please tell one,Joey,1,101,14
565,course course one matter,Mr. Tribbiani,6,101,15
566,everything gon na right okay dick,Chandler,4,102,0
567,hello guru saj whoa supposed duck right cause otherwise waaay league,Guru Saj,6,102,1
568,hey rach work,Monica,4,103,0
569,oh great although sit chair,Rachel,4,103,1
570,way ross dropped box stuff,Monica,4,103,2
571,oh well guess one coming,Rachel,4,103,3
572,gon na throw probably bunch shampoo,Rachel,4,103,4
573,something wrong,Monica,4,103,5
574,nothing,Rachel,4,103,6
575,said thing bringing mesozoic era century,Charlie,4,104,0
576,yeah,Ross,6,104,1
577,yeah,Charlie,4,104,2
578,dude sorry said,Joey,5,105,0
579,right ridiculous name,Chandler,1,105,1
580,bad,Joey,4,105,2
581,yes first name,Chandler,0,105,3
582,bing,Joey,4,105,4
583,apartment back,Monica,3,106,0
584,ace high jack queen king ace,Joey,6,106,1
585,ace low ace two three four,Monica,0,106,2
586,pick pick,Monica,3,106,3
587,know,Monica,2,106,5
588,ace low ace two three four,Monica,0,107,0
589,know ooh ooh look,Phoebe,6,107,1
590,know ooh ooh look,Phoebe,6,108,0
591,right cut let pick pick,Rachel,4,108,1
592,right cut let pick pick,Rachel,4,109,0
593,okay,Joey,4,109,1
594,come apartment come apartment oh know queen high,Rachel,0,109,2
595,high worked king,Joey,6,109,3
596,high worked king,Joey,6,110,0
597,yeah baby,Chandler,3,110,1
598,ticket please courtside baby,Chandler,3,110,2
599,seriously good game though good game mad get apartment back,Joey,6,110,3
600,yeah baby,Chandler,3,111,0
601,pick pick,Monica,3,111,1
602,know,Monica,2,111,2
603,ticket please courtside baby,Chandler,3,111,3
604,know think brought enough stuff forget pack baby anvil,Chandler,4,112,0
605,gon na worth,Joey,4,112,1
606,known fact woman love baby right,Joey,4,112,2
607,woman love guy love baby,Joey,4,112,3
608,whole sensitive thing,Joey,4,112,4
609,quick aim pack babe,Joey,4,112,5
610,maybe one break away,Joey,4,112,6
611,wait get got one hard left,Joey,3,112,7
612,right gim baby,Joey,4,112,8
613,got,Chandler,4,112,9
614,oh seriously want,Chandler,6,112,10
615,hello,Joey,4,112,11
616,well think immodest,Chandler,6,112,12
617,wan na smell,Joey,4,112,13
618,oh yeah got great baby smell get whiff head,Joey,3,112,14
619,tell tell,Joey,3,112,15
620,well great guy,Chandler,4,112,16
621,well really,Ross,4,113,0
622,mean technically rule anything frowned upon,Ross,4,113,1
623,especially professor ran last night judgey von holierthanthou,Ross,0,113,2
624,well ross careful want get reputation know professor mcnailshisstudents,Monica,3,113,3
625,yeah,Ross,2,113,4
626,going,Monica,6,113,5
627,going,Ross,4,113,6
628,well really,Ross,4,114,0
629,mean technically rule anything frowned upon,Ross,4,114,1
630,especially professor ran last night judgey von holierthanthou,Ross,0,114,2
631,yeah,Ross,2,114,3
632,well ross seems pretty clear,Joey,4,114,4
633,mean important,Joey,4,114,5
634,people think feel huh,Joey,4,114,6
635,ross got ta follow heart,Joey,4,114,7
636,well ross seems pretty clear,Joey,4,115,0
637,mean important,Joey,4,115,1
638,people think feel huh,Joey,4,115,2
639,ross got ta follow heart,Joey,4,115,3
640,joey sweet,Monica,3,115,4
641,joey even know,Monica,6,115,5
642,ah whatever,Joey,0,115,6
643,joey sweet,Monica,3,116,0
644,hey,Chandler,4,116,1
645,hey relax need time going dinner tonight,Chandler,4,116,2
646,going,Monica,6,116,3
647,dana caplin,Chandler,4,116,4
648,joey even know,Monica,6,116,5
649,well ross seems pretty clear,Joey,4,117,0
650,mean important,Joey,4,117,1
651,people think feel huh,Joey,4,117,2
652,ross got ta follow heart,Joey,4,117,3
653,hey,Chandler,4,117,4
654,go dana reason leave block time open say thursday,Joey,4,117,5
655,hey relax need time going dinner tonight,Chandler,4,117,8
656,well really,Ross,4,118,0
657,mean technically rule anything frowned upon,Ross,4,118,1
658,especially professor ran last night judgey von holierthanthou,Ross,0,118,2
659,going,Ross,4,118,3
660,uh dana keystone college,Chandler,4,118,4
661,oh yeah uh,Ross,6,118,5
662,dana caplin,Chandler,4,118,6
663,morning hey favorite genius little robot buddy,Joey,3,119,0
664,touch,Wayne,0,119,1
665,okay,Joey,6,119,2
666,right,Joey,4,119,3
667,umm right wayne level,Joey,4,119,4
668,keep hearing rumor might get fired,Joey,2,119,5
669,okay even actor coming read part,Joey,2,119,6
670,come man got give second chance,Joey,5,119,7
671,mean love little guy,Joey,3,119,8
672,okay want touch right,Joey,6,119,10
673,go,Joey,4,119,11
674,okay,Joey,4,119,12
675,stupid,Joey,0,119,13
676,believe,Joey,6,119,14
677,god,Joey,0,119,15
